"ID","ColumnDisplayName","ColumnInternalName","Required","ColumnTye","Description","Format","MaxLength","EnforceUniqueValues","Indexed","ValidationFormula","DefaultValue","DefaultFormula","CustomFormatter"
"1d22ea11-1e32-424e-89ab-9fedbadb6ce1","ID","ID","False","Counter","",,,"False","False",,,,
"c042a256-787d-4a6f-8a8a-cf6ab767f12d","Content Type","ContentType","False","Computed","",,,"False","False",,,,
"8c06beca-0777-48f7-91c7-6da68bc07b69","Created","Created","False","DateTime","",,,"False","False",,,,
"1df5e554-ec7e-46a6-901d-d85a3881cb18","Created By","Author","False","User","",,,"False","False",,,,
"28cf69c5-fa48-462a-b5cd-27b6f9d2bd5f","Modified","Modified","False","DateTime","",,,"False","False",,,,
"d31655d1-1d5b-4511-95a1-7a09e9b75bf2","Modified By","Editor","False","User","",,,"False","False",,,,
"6b4e226d-3d88-4a36-808d-a129bf52bccf","Copy Source","_CopySource","False","Text","",,"255","False","False",,,,
"3881510a-4e4a-4ee8-b102-8ee8e2d0dd4b","Checked Out To","CheckoutUser","False","User","",,,"False","False",,,,
"8553196d-ec8d-4564-9861-3dbe931050c8","Name","FileLeafRef","True","File","",,,"False","False",,,,
"58014f77-5463-437b-ab67-eec79532da67","Check In Comment","_CheckinComment","False","Lookup","",,,"False","False",,,,
"9d30f126-ba48-446b-b8f9-83745f322ebe","Name","LinkFilenameNoMenu","False","Computed","",,,"False","False",,,,
"5cc6dc79-3710-4374-b433-61cb4a686c12","Name","LinkFilename","False","Computed","",,,"False","False",,,,
"081c6e4c-5c14-4f20-b23e-1a71ceb6a67c","Type","DocIcon","False","Computed","",,,"False","False",,,,
"78a07ba4-bda8-4357-9e0f-580d64487583","File Size","FileSizeDisplay","False","Computed","",,,"False","False",,,,
"b824e17e-a1b3-426e-aecf-f0184d900485","Item Child Count","ItemChildCount","False","Lookup","",,,"False","False",,,,
"960ff01f-2b6d-4f1b-9c3f-e19ad8927341","Folder Child Count","FolderChildCount","False","Lookup","",,,"False","False",,,,
"ccc1037f-f65e-434a-868e-8c98af31fe29","Label setting","_ComplianceFlags","False","Lookup","",,,"False","False",,,,
"d4b6480a-4bed-4094-9a52-30181ea38f1d","Retention label","_ComplianceTag","False","Lookup","",,,"False","False",,,,
"92be610e-ddbb-49f4-b3b1-5c2bc768df8f","Retention label Applied","_ComplianceTagWrittenTime","False","Lookup","",,,"False","False",,,,
"418d7676-2d6f-42cf-a16a-e43d2971252a","Label applied by","_ComplianceTagUserId","False","Lookup","",,,"False","False",,,,
"8382d247-72a9-44b1-9794-7b177edc89f3","Item is a Record","_IsRecord","False","Computed","",,,"False","False",,,,
"d307dff3-340f-44a2-9f4b-fbfe1ba07459","Comment count","_CommentCount","False","Lookup","",,,"False","False",,,,
"db8d9d6d-dc9a-4fbd-85f3-4a753bfdc58c","Like count","_LikeCount","False","Lookup","",,,"False","False",,,,
"1a53ab5a-11f9-4b92-a377-8cfaaf6ba7be","Sensitivity","_DisplayName","False","Lookup","",,,"False","False",,,,
"76d13cd2-1bae-45a5-8b74-545b87b65037","Color Tag","_ColorTag","False","Text","",,"255","False","False",,,,
"6bfaba20-36bf-44b5-a1b2-eb6346d49716","App Created By","AppAuthor","False","Lookup","",,,"False","False",,,,
"e08400f3-c779-4ed2-a18c-ab7f34caa318","App Modified By","AppEditor","False","Lookup","",,,"False","False",,,,
"503f1caa-358e-4918-9094-4a2cdc4bc034","Edit","Edit","False","Computed","",,,"False","False",,,,
"dce8262a-3ae9-45aa-aab4-83bd75fb738a","Version","_UIVersionString","False","Text","",,"255","False","False",,,,
