"ID","ColumnDisplayName","ColumnInternalName","Required","ColumnTye","Description","Format","MaxLength","EnforceUniqueValues","Indexed","ValidationFormula","DefaultValue","DefaultFormula","CustomFormatter"
"fa564e0f-0c70-4ab9-b863-0177e6ddd247","Group Name","Title","True","Text","",,"255","False","False",,,,
"a92c2778-1260-449f-ad52-355b1319614b","Description","Description","False","Note","",,,"False","False",,,,
"3e8f867e-bd09-43a4-b28b-8561dba62c06","Group Leader","Group_x0020_Leader","False","Lookup","Primary team member who leads or facilitates this group.",,,"False","False",,,,
"095cc848-d815-4b36-86ad-fe7616bd0ba2","Group Members","GroupMembers","False","Calculated","Link to view all members of this group in the People list.",,,"False","False",,,,"{""$schema"":""https://developer.microsoft.com/json-schemas/sp/v2/column-formatting.schema.json"",""children"":[{""elmType"":""span"",""style"":{""padding-right"":""10px""},""txtContent"":"" ""},{""attributes"":{""class"":""sp-field-quickActions"",""href"":""='' + @currentField"",""iconName"":""=if(@currentField == '', 'RemoveLinkX', 'ContactList')"",""target"":""_top"",""title"":""Find group members.""},""elmType"":""a"",""style"":{""text-decoration"":""none""},""txtContent"":""=if(@currentField == '', ' ', ' Group Members Members')""}],""elmType"":""div""}"
"e4d6668a-b94d-49b3-88f7-1b18e9a6e86e","Group Drive","Group_x0020_Drive","False","URL","",,,"False","False",,,,
"97e094a9-33c4-41b3-a8d8-1bfed7636bd9","Group WebPage","Group_x0020_WebPage","False","URL","",,,"False","False",,,,
"8d0a3a2b-8f82-4df8-91f6-2cd9646d3ee5","Slack","Slack","False","URL","",,,"False","False",,,,
"41bef5eb-9e14-472d-a713-d96d4d901590","GitHub","GitHub","False","URL","",,,"False","False",,,,
"dfd097bb-d20a-4bd5-8864-aaa801c44804","Teams Account","Teams_x0020_Account","False","User","",,,"False","False",,,,
"cba7bfa1-ee82-4d31-968f-4e20820dbe0a","Calendar","Calendar","False","URL","",,,"False","False",,,,
"25b83911-9eba-4ace-b205-8cf989c1652a","Meeting Schedule","Meeting_x0020_Schedule","False","Text","On what days does this group regularly meet?",,"255","False","False",,,,
"b90094d5-288e-464c-b1dd-30e4c7f160e7","MCommunity Group","MCommunity_x0020_Group","False","Text","Enter the email address of the corresponding MCommunity group to sync its members with the People list.",,"255","True","True","=IF(LEN([MCommunity Group])<=0,TRUE,AND(ISERROR(FIND("" "",[MCommunity Group],1)),IF(ISERROR(FIND(""@"",[MCommunity Group],2)),FALSE,AND(ISERROR(FIND(""@"",#NAME?,FIND(""@"",[MCommunity Group],2)+1)),IF(ISERROR(FIND(""."",[MCommunity Group],FIND(""@"",[MCommunity Group],2)+2)),FALSE,FIND(""."",[MCommunity Group],FIND(""@"",[MCommunity Group],2)+2)<LEN([MCommunity Group]))))))",,,
"81eb29ea-da4d-4eaa-8653-9002cb9c02a4","Notes","Notes","False","Note","",,,"False","False",,,,
"fef9b69c-e17f-4715-8711-c25eceacff3e","Active","Active","False","Boolean","",,,"False","False",,"1",,
"82642ec8-ef9b-478f-acf9-31f7d45fbc31","Group Name","LinkTitle","False","Computed","",,,"False","False",,,,
"76d13cd2-1bae-45a5-8b74-545b87b65037","Color Tag","_ColorTag","False","Text","",,"255","False","False",,,,
"3a6b296c-3f50-445c-a13f-9c679ea9dda3","Compliance Asset Id","ComplianceAssetId","False","Text","",,"255","False","False",,,,
"bc91a437-52e7-49e1-8c4e-4698904b2b6d","Group Name","LinkTitleNoMenu","False","Computed","",,,"False","False",,,,
"ac8ca6f3-c0cd-4aa5-aa73-85fad16b6ec1","Group Leader Email","Group_x0020_Leader_x003a_Email","False","Lookup","",,,"False","False",,,,
"1d22ea11-1e32-424e-89ab-9fedbadb6ce1","ID","ID","False","Counter","",,,"False","False",,,,
"c042a256-787d-4a6f-8a8a-cf6ab767f12d","Content Type","ContentType","False","Computed","",,,"False","False",,,,
"28cf69c5-fa48-462a-b5cd-27b6f9d2bd5f","Modified","Modified","False","DateTime","",,,"False","False",,,,
"8c06beca-0777-48f7-91c7-6da68bc07b69","Created","Created","False","DateTime","",,,"False","False",,,,
"1df5e554-ec7e-46a6-901d-d85a3881cb18","Created By","Author","False","User","",,,"False","False",,,,
"d31655d1-1d5b-4511-95a1-7a09e9b75bf2","Modified By","Editor","False","User","",,,"False","False",,,,
"dce8262a-3ae9-45aa-aab4-83bd75fb738a","Version","_UIVersionString","False","Text","",,"255","False","False",,,,
"67df98f4-9dec-48ff-a553-29bece9c5bf4","Attachments","Attachments","False","Attachments","",,,"False","False",,,,
"503f1caa-358e-4918-9094-4a2cdc4bc034","Edit","Edit","False","Computed","",,,"False","False",,,,
"081c6e4c-5c14-4f20-b23e-1a71ceb6a67c","Type","DocIcon","False","Computed","",,,"False","False",,,,
"b824e17e-a1b3-426e-aecf-f0184d900485","Item Child Count","ItemChildCount","False","Lookup","",,,"False","False",,,,
"960ff01f-2b6d-4f1b-9c3f-e19ad8927341","Folder Child Count","FolderChildCount","False","Lookup","",,,"False","False",,,,
"ccc1037f-f65e-434a-868e-8c98af31fe29","Label setting","_ComplianceFlags","False","Lookup","",,,"False","False",,,,
"d4b6480a-4bed-4094-9a52-30181ea38f1d","Retention label","_ComplianceTag","False","Lookup","",,,"False","False",,,,
"92be610e-ddbb-49f4-b3b1-5c2bc768df8f","Retention label Applied","_ComplianceTagWrittenTime","False","Lookup","",,,"False","False",,,,
"418d7676-2d6f-42cf-a16a-e43d2971252a","Label applied by","_ComplianceTagUserId","False","Lookup","",,,"False","False",,,,
"8382d247-72a9-44b1-9794-7b177edc89f3","Item is a Record","_IsRecord","False","Computed","",,,"False","False",,,,
"6bfaba20-36bf-44b5-a1b2-eb6346d49716","App Created By","AppAuthor","False","Lookup","",,,"False","False",,,,
"e08400f3-c779-4ed2-a18c-ab7f34caa318","App Modified By","AppEditor","False","Lookup","",,,"False","False",,,,
