"ID","ColumnDisplayName","ColumnInternalName","Required","ColumnTye","Description","Format","MaxLength","EnforceUniqueValues","Indexed","ValidationFormula","DefaultValue","DefaultFormula","CustomFormatter"
"fa564e0f-0c70-4ab9-b863-0177e6ddd247","Submission","Title","True","Text","The title of this submission. This value is auto-generated after submitting the automation request form.",,"255","False","False",,,"=TEXT(NOW()+IF(OR(AND(MONTH(NOW())=3,DAY(NOW())-WEEKDAY(NOW(),2)>=7),MONTH(NOW())>3,MONTH(NOW())<11,AND(MONTH(NOW())=11,DAY(NOW())-WEEKDAY(NOW(),2)<0)),3/24,4/24),""yyyy-MM-dd hh:mm:ss AM/PM"")",
"d9120937-d76e-44f9-ba0f-4bd4f111e1f9","Automation Type","AutomationType","False","Choice","Select the type of automation you would like to run.",,,"False","False",,,,"{""elmType"":""div"",""style"":{""flex-wrap"":""wrap"",""display"":""flex""},""children"":[{""elmType"":""div"",""style"":{""box-sizing"":""border-box"",""padding"":""4px 8px 5px 8px"",""overflow"":""hidden"",""text-overflow"":""ellipsis"",""display"":""flex"",""border-radius"":""16px"",""height"":""24px"",""align-items"":""center"",""white-space"":""nowrap"",""margin"":""4px 4px 4px 4px""},""attributes"":{""class"":{""operator"":"":"",""operands"":[{""operator"":""=="",""operands"":[""[$AutomationType]"",""Add People in bulk by copying and pasting UniqNames""]},""sp-css-backgroundColor-BgCornflowerBlue sp-css-borderColor-CornflowerBlueFont sp-css-color-CornflowerBlueFont"",{""operator"":"":"",""operands"":[{""operator"":""=="",""operands"":[""[$AutomationType]"",""Add or update People in bulk using a spreadsheet""]},""sp-css-backgroundColor-BgCornflowerBlue sp-css-borderColor-CornflowerBlueFont sp-css-color-CornflowerBlueFont"",{""operator"":"":"",""operands"":[{""operator"":""=="",""operands"":[""[$AutomationType]"",""Assign a Primary Investigator to multiple people""]},""sp-css-backgroundColor-BgCornflowerBlue sp-css-borderColor-CornflowerBlueFont sp-css-color-CornflowerBlueFont"",{""operator"":"":"",""operands"":[{""operator"":""=="",""operands"":[""[$AutomationType]"",""Update multiple People using MCommunity and Office 365""]},""sp-css-backgroundColor-BgCornflowerBlue sp-css-borderColor-CornflowerBlueFont sp-css-color-CornflowerBlueFont"",{""operator"":"":"",""operands"":[{""operator"":""=="",""operands"":[""[$AutomationType]"",""Add event registrants to existing event""]},""sp-css-backgroundColor-BgMintGreen sp-css-borderColor-MintGreenFont sp-css-color-MintGreenFont"",{""operator"":"":"",""operands"":[{""operator"":""=="",""operands"":[""[$AutomationType]"",""Add event attendees to existing event""]},""sp-css-backgroundColor-BgMintGreen sp-css-borderColor-MintGreenFont sp-css-color-MintGreenFont"",{""operator"":"":"",""operands"":[{""operator"":""=="",""operands"":[""[$AutomationType]"",""Add event speakers to existing event""]},""sp-css-backgroundColor-BgMintGreen sp-field-borderAllRegular sp-field-borderAllSolid sp-css-borderColor-MintGreenFont sp-css-color-MintGreenFont"",{""operator"":"":"",""operands"":[{""operator"":""=="",""operands"":[""[$AutomationType]"",""Add event summaries in bulk using a spreadsheet""]},""sp-css-backgroundColor-BgMintGreen sp-css-borderColor-MintGreenFont sp-css-color-MintGreenFont"",{""operator"":"":"",""operands"":[{""operator"":""=="",""operands"":[""[$AutomationType]"",""Sync Group members for a specific group""]},""sp-css-backgroundColor-BgOrange sp-css-borderColor-WhiteFont sp-css-color-WhiteFont"",{""operator"":"":"",""operands"":[{""operator"":""=="",""operands"":[""[$AutomationType]"",""Sync Programs to Events Calendar""]},""sp-css-backgroundColor-BgOrange sp-css-borderColor-WhiteFont sp-css-color-WhiteFont"",{""operator"":"":"",""operands"":[{""operator"":""=="",""operands"":[""[$AutomationType]"",""""]},"""",""sp-field-borderAllRegular sp-field-borderAllSolid sp-css-borderColor-neutralSecondary""]}]}]}]}]}]}]}]}]}]}]}},""children"":[{""elmType"":""span"",""style"":{""overflow"":""hidden"",""text-overflow"":""ellipsis"",""padding"":""0 3px""},""txtContent"":""[$AutomationType]"",""attributes"":{""class"":{""operator"":"":"",""operands"":[{""operator"":""=="",""operands"":[""[$AutomationType]"",""Add People in bulk by copying and pasting UniqNames""]},""sp-css-color-CornflowerBlueFont"",{""operator"":"":"",""operands"":[{""operator"":""=="",""operands"":[""[$AutomationType]"",""Add or update People in bulk using a spreadsheet""]},""sp-css-color-CornflowerBlueFont"",{""operator"":"":"",""operands"":[{""operator"":""=="",""operands"":[""[$AutomationType]"",""Assign a Primary Investigator to multiple people""]},""sp-css-color-CornflowerBlueFont"",{""operator"":"":"",""operands"":[{""operator"":""=="",""operands"":[""[$AutomationType]"",""Update multiple People using MCommunity and Office 365""]},""sp-css-color-CornflowerBlueFont"",{""operator"":"":"",""operands"":[{""operator"":""=="",""operands"":[""[$AutomationType]"",""Add event registrants to existing event""]},""sp-css-color-MintGreenFont"",{""operator"":"":"",""operands"":[{""operator"":""=="",""operands"":[""[$AutomationType]"",""Add event attendees to existing event""]},""sp-css-color-MintGreenFont"",{""operator"":"":"",""operands"":[{""operator"":""=="",""operands"":[""[$AutomationType]"",""Add event speakers to existing event""]},""sp-css-color-MintGreenFont"",{""operator"":"":"",""operands"":[{""operator"":""=="",""operands"":[""[$AutomationType]"",""Add event summaries in bulk using a spreadsheet""]},""sp-css-color-MintGreenFont"",{""operator"":"":"",""operands"":[{""operator"":""=="",""operands"":[""[$AutomationType]"",""Sync Group members for a specific group""]},""sp-css-color-WhiteFont"",{""operator"":"":"",""operands"":[{""operator"":""=="",""operands"":[""[$AutomationType]"",""Sync Programs to Events Calendar""]},""sp-css-color-WhiteFont"",{""operator"":"":"",""operands"":[{""operator"":""=="",""operands"":[""[$AutomationType]"",""""]},"""",""""]}]}]}]}]}]}]}]}]}]}]}}}]}],""rulesOrder"":[0,1,2,3,4,5,10,6,7,8,9,11],""templateId"":""BgColorChoicePill""}"
"25ef214b-a90a-4914-bdc3-1b57a7b84a7a","Status","Status","True","Choice","The current status of this automation request. Do not edit manually.",,,"False","False",,"Submitted",,"{""elmType"":""div"",""style"":{""flex-wrap"":""wrap"",""display"":""flex""},""children"":[{""elmType"":""div"",""style"":{""box-sizing"":""border-box"",""padding"":""4px 8px 5px 8px"",""overflow"":""hidden"",""text-overflow"":""ellipsis"",""display"":""flex"",""border-radius"":""16px"",""height"":""24px"",""align-items"":""center"",""white-space"":""nowrap"",""margin"":""4px 4px 4px 4px""},""attributes"":{""class"":{""operator"":"":"",""operands"":[{""operator"":""=="",""operands"":[""[$Status]"",""Submitted""]},""sp-css-backgroundColor-BgCornflowerBlue"",{""operator"":"":"",""operands"":[{""operator"":""=="",""operands"":[""[$Status]"",""Running""]},""sp-css-backgroundColor-BgGold sp-css-borderColor-GoldFont"",{""operator"":"":"",""operands"":[{""operator"":""=="",""operands"":[""[$Status]"",""Finished""]},""sp-css-backgroundColor-BgMintGreen sp-css-borderColor-MintGreenFont"",{""operator"":"":"",""operands"":[{""operator"":""=="",""operands"":[""[$Status]"",""Canceled""]},""sp-css-backgroundColor-BgCoral"",""sp-field-borderAllRegular sp-field-borderAllSolid sp-css-borderColor-neutralSecondary""]}]}]}]}},""children"":[{""elmType"":""span"",""style"":{""line-height"":""16px"",""height"":""14px"",""display"":{""operator"":"":"",""operands"":[{""operator"":""=="",""operands"":[""[$Status]"",""Submitted""]},""inherit"",{""operator"":"":"",""operands"":[{""operator"":""=="",""operands"":[""[$Status]"",""Running""]},""inherit"",{""operator"":"":"",""operands"":[{""operator"":""=="",""operands"":[""[$Status]"",""Finished""]},""inherit"",{""operator"":"":"",""operands"":[{""operator"":""=="",""operands"":[""[$Status]"",""Canceled""]},""inherit"",""none""]}]}]}]}},""attributes"":{""iconName"":{""operator"":"":"",""operands"":[{""operator"":""=="",""operands"":[""[$Status]"",""Submitted""]},""Accept"",{""operator"":"":"",""operands"":[{""operator"":""=="",""operands"":[""[$Status]"",""Running""]},""Forward"",{""operator"":"":"",""operands"":[{""operator"":""=="",""operands"":[""[$Status]"",""Finished""]},""Like"",{""operator"":"":"",""operands"":[{""operator"":""=="",""operands"":[""[$Status]"",""Canceled""]},""Dislike"",""""]}]}]}]},""class"":{""operator"":"":"",""operands"":[{""operator"":""=="",""operands"":[""[$Status]"",""Submitted""]},""sp-css-color-CornflowerBlueFont"",{""operator"":"":"",""operands"":[{""operator"":""=="",""operands"":[""[$Status]"",""Running""]},""sp-css-color-GoldFont"",{""operator"":"":"",""operands"":[{""operator"":""=="",""operands"":[""[$Status]"",""Finished""]},""sp-css-color-MintGreenFont"",{""operator"":"":"",""operands"":[{""operator"":""=="",""operands"":[""[$Status]"",""Canceled""]},""sp-css-color-CoralFont"",""""]}]}]}]}}},{""elmType"":""span"",""style"":{""overflow"":""hidden"",""text-overflow"":""ellipsis"",""padding"":""0 3px""},""txtContent"":""[$Status]"",""attributes"":{""class"":{""operator"":"":"",""operands"":[{""operator"":""=="",""operands"":[""[$Status]"",""Submitted""]},""sp-field-fontSizeSmall sp-css-color-CornflowerBlueFont"",{""operator"":"":"",""operands"":[{""operator"":""=="",""operands"":[""[$Status]"",""Running""]},""sp-field-fontSizeSmall sp-css-color-GoldFont"",{""operator"":"":"",""operands"":[{""operator"":""=="",""operands"":[""[$Status]"",""Finished""]},""sp-field-fontSizeSmall sp-css-color-MintGreenFont"",{""operator"":"":"",""operands"":[{""operator"":""=="",""operands"":[""[$Status]"",""Canceled""]},""sp-field-fontSizeSmall sp-css-color-CoralFont"",""""]}]}]}]}}}]}],""templateId"":""BgColorChoicePill""}"
"df0fd9f4-c5d3-4244-8463-82020aeecee8","PI","PI","False","Lookup","The Primary Investigator to use in this automation, if applicable.",,,"False","False",,,,
"44dd2ab9-93c5-40e8-baf9-52103c3062de","Event","Event","False","Lookup","The Event Summary to use in this automation, if applicable.",,,"False","False",,,,
"d477ef8a-96d3-4cc0-96ea-4cb85a5bc605","Group","Group","False","Lookup","Select a group.",,,"False","False",,,,
"6a4237c6-8609-48c2-9ce5-b43462340399","Override Participants","OverrideParticipants","False","Boolean","For events and services only: when checked, existing participants are overridden (recipients, attendees, registrants, etc., depending on the automation selected).",,,"False","False",,"1",,
"52f740c3-5d46-4e87-9f1b-750d5a420323","List of Users","UserList","False","Note","Enter a list of UniqNames or e-mail addresses separated by commas, or one per line.",,,"False","False",,,,
"2e768648-9792-4268-8ea4-679338e89f7f","Default Contact Type","ContactType","False","Choice","If a contact is not already in the People list, it will be created automatically using this contact type as needed.",,,"False","False",,,,"{""elmType"":""div"",""style"":{""flex-wrap"":""wrap"",""display"":""flex""},""children"":[{""elmType"":""div"",""style"":{""box-sizing"":""border-box"",""padding"":""4px 8px 5px 8px"",""overflow"":""hidden"",""text-overflow"":""ellipsis"",""display"":""flex"",""border-radius"":""16px"",""height"":""24px"",""align-items"":""center"",""white-space"":""nowrap"",""margin"":""4px 4px 4px 4px""},""attributes"":{""class"":{""operator"":"":"",""operands"":[{""operator"":""=="",""operands"":[""[$ContactType]"",""Member""]},""sp-css-backgroundColor-BgCornflowerBlue"",{""operator"":"":"",""operands"":[{""operator"":""=="",""operands"":[""[$ContactType]"",""Prospective Member""]},""sp-css-backgroundColor-BgCyan sp-css-borderColor-CyanFont"",{""operator"":"":"",""operands"":[{""operator"":""=="",""operands"":[""[$ContactType]"",""Alumni""]},""sp-css-backgroundColor-BgLightGray sp-css-borderColor-LightGrayFont"",{""operator"":"":"",""operands"":[{""operator"":""=="",""operands"":[""[$ContactType]"",""Community Partner""]},""sp-css-backgroundColor-BgLilac sp-css-borderColor-LilacFont"",{""operator"":"":"",""operands"":[{""operator"":""=="",""operands"":[""[$ContactType]"",""EFDC Leadership""]},""sp-css-backgroundColor-BgCoral sp-css-borderColor-CoralFont"",{""operator"":"":"",""operands"":[{""operator"":""=="",""operands"":[""[$ContactType]"",""EFDC Staff""]},""sp-css-backgroundColor-BgBrown sp-css-borderColor-WhiteFont"",{""operator"":"":"",""operands"":[{""operator"":""=="",""operands"":[""[$ContactType]"",""Peer-to-Peer Partner""]},""sp-css-backgroundColor-BgLightPurple sp-css-borderColor-LightPurpleFont"",{""operator"":"":"",""operands"":[{""operator"":""=="",""operands"":[""[$ContactType]"",""U-M Communication Contact""]},""sp-css-backgroundColor-BgGold sp-css-borderColor-GoldFont"",{""operator"":"":"",""operands"":[{""operator"":""=="",""operands"":[""[$ContactType]"",""U-M External Partner""]},""sp-css-backgroundColor-BgGold sp-css-borderColor-GoldFont"",{""operator"":"":"",""operands"":[{""operator"":""=="",""operands"":[""[$ContactType]"",""U-M Partner""]},""sp-css-backgroundColor-BgGold sp-css-borderColor-GoldFont"",{""operator"":"":"",""operands"":[{""operator"":""=="",""operands"":[""[$ContactType]"",""U-M Staff""]},""sp-css-backgroundColor-BgGold sp-css-borderColor-GoldFont"",{""operator"":"":"",""operands"":[{""operator"":""=="",""operands"":[""[$ContactType]"",""Undergraduate Student""]},""sp-css-backgroundColor-BgSage sp-css-borderColor-SageFont"",{""operator"":"":"",""operands"":[{""operator"":""=="",""operands"":[""[$ContactType]"",""Vendor""]},""sp-css-backgroundColor-BgLilac"",{""operator"":"":"",""operands"":[{""operator"":""=="",""operands"":[""[$ContactType]"",""Other""]},""sp-css-backgroundColor-BgRed sp-css-borderColor-WhiteFont"",""sp-css-backgroundColor-BgDarkRed sp-field-borderAllSemibold sp-field-borderAllSolid sp-css-borderColor-WhiteFont""]}]}]}]}]}]}]}]}]}]}]}]}]}]}},""children"":[{""elmType"":""span"",""style"":{""line-height"":""16px"",""height"":""14px"",""display"":{""operator"":"":"",""operands"":[{""operator"":""=="",""operands"":[""[$ContactType]"",""Member""]},""inherit"",{""operator"":"":"",""operands"":[{""operator"":""=="",""operands"":[""[$ContactType]"",""Prospective Member""]},""none"",{""operator"":"":"",""operands"":[{""operator"":""=="",""operands"":[""[$ContactType]"",""Alumni""]},""none"",{""operator"":"":"",""operands"":[{""operator"":""=="",""operands"":[""[$ContactType]"",""Community Partner""]},""none"",{""operator"":"":"",""operands"":[{""operator"":""=="",""operands"":[""[$ContactType]"",""EFDC Leadership""]},""none"",{""operator"":"":"",""operands"":[{""operator"":""=="",""operands"":[""[$ContactType]"",""EFDC Staff""]},""none"",{""operator"":"":"",""operands"":[{""operator"":""=="",""operands"":[""[$ContactType]"",""Peer-to-Peer Partner""]},""none"",{""operator"":"":"",""operands"":[{""operator"":""=="",""operands"":[""[$ContactType]"",""U-M Communication Contact""]},""none"",{""operator"":"":"",""operands"":[{""operator"":""=="",""operands"":[""[$ContactType]"",""U-M External Partner""]},""none"",{""operator"":"":"",""operands"":[{""operator"":""=="",""operands"":[""[$ContactType]"",""U-M Partner""]},""none"",{""operator"":"":"",""operands"":[{""operator"":""=="",""operands"":[""[$ContactType]"",""U-M Staff""]},""none"",{""operator"":"":"",""operands"":[{""operator"":""=="",""operands"":[""[$ContactType]"",""Undergraduate Student""]},""none"",{""operator"":"":"",""operands"":[{""operator"":""=="",""operands"":[""[$ContactType]"",""Vendor""]},""none"",{""operator"":"":"",""operands"":[{""operator"":""=="",""operands"":[""[$ContactType]"",""Other""]},""inherit"",""inherit""]}]}]}]}]}]}]}]}]}]}]}]}]}]}},""attributes"":{""iconName"":{""operator"":"":"",""operands"":[{""operator"":""=="",""operands"":[""[$ContactType]"",""Member""]},""Like"",{""operator"":"":"",""operands"":[{""operator"":""=="",""operands"":[""[$ContactType]"",""Prospective Member""]},"""",{""operator"":"":"",""operands"":[{""operator"":""=="",""operands"":[""[$ContactType]"",""Alumni""]},"""",{""operator"":"":"",""operands"":[{""operator"":""=="",""operands"":[""[$ContactType]"",""Community Partner""]},"""",{""operator"":"":"",""operands"":[{""operator"":""=="",""operands"":[""[$ContactType]"",""EFDC Leadership""]},"""",{""operator"":"":"",""operands"":[{""operator"":""=="",""operands"":[""[$ContactType]"",""EFDC Staff""]},"""",{""operator"":"":"",""operands"":[{""operator"":""=="",""operands"":[""[$ContactType]"",""Peer-to-Peer Partner""]},"""",{""operator"":"":"",""operands"":[{""operator"":""=="",""operands"":[""[$ContactType]"",""U-M Communication Contact""]},"""",{""operator"":"":"",""operands"":[{""operator"":""=="",""operands"":[""[$ContactType]"",""U-M External Partner""]},"""",{""operator"":"":"",""operands"":[{""operator"":""=="",""operands"":[""[$ContactType]"",""U-M Partner""]},"""",{""operator"":"":"",""operands"":[{""operator"":""=="",""operands"":[""[$ContactType]"",""U-M Staff""]},"""",{""operator"":"":"",""operands"":[{""operator"":""=="",""operands"":[""[$ContactType]"",""Undergraduate Student""]},"""",{""operator"":"":"",""operands"":[{""operator"":""=="",""operands"":[""[$ContactType]"",""Vendor""]},"""",{""operator"":"":"",""operands"":[{""operator"":""=="",""operands"":[""[$ContactType]"",""Other""]},""Error"",""ErrorBadge""]}]}]}]}]}]}]}]}]}]}]}]}]}]},""class"":{""operator"":"":"",""operands"":[{""operator"":""=="",""operands"":[""[$ContactType]"",""Member""]},""sp-css-color-CornflowerBlueFont"",{""operator"":"":"",""operands"":[{""operator"":""=="",""operands"":[""[$ContactType]"",""Prospective Member""]},""sp-css-color-CyanFont"",{""operator"":"":"",""operands"":[{""operator"":""=="",""operands"":[""[$ContactType]"",""Alumni""]},""sp-css-color-LightGrayFont"",{""operator"":"":"",""operands"":[{""operator"":""=="",""operands"":[""[$ContactType]"",""Community Partner""]},""sp-css-color-LilacFont"",{""operator"":"":"",""operands"":[{""operator"":""=="",""operands"":[""[$ContactType]"",""EFDC Leadership""]},""sp-css-color-CoralFont"",{""operator"":"":"",""operands"":[{""operator"":""=="",""operands"":[""[$ContactType]"",""EFDC Staff""]},""sp-css-color-WhiteFont"",{""operator"":"":"",""operands"":[{""operator"":""=="",""operands"":[""[$ContactType]"",""Peer-to-Peer Partner""]},""sp-css-color-LightPurpleFont"",{""operator"":"":"",""operands"":[{""operator"":""=="",""operands"":[""[$ContactType]"",""U-M Communication Contact""]},""sp-css-color-GoldFont"",{""operator"":"":"",""operands"":[{""operator"":""=="",""operands"":[""[$ContactType]"",""U-M External Partner""]},""sp-css-color-GoldFont"",{""operator"":"":"",""operands"":[{""operator"":""=="",""operands"":[""[$ContactType]"",""U-M Partner""]},""sp-css-color-GoldFont"",{""operator"":"":"",""operands"":[{""operator"":""=="",""operands"":[""[$ContactType]"",""U-M Staff""]},""sp-css-color-GoldFont"",{""operator"":"":"",""operands"":[{""operator"":""=="",""operands"":[""[$ContactType]"",""Undergraduate Student""]},""sp-css-color-SageFont"",{""operator"":"":"",""operands"":[{""operator"":""=="",""operands"":[""[$ContactType]"",""Vendor""]},"""",{""operator"":"":"",""operands"":[{""operator"":""=="",""operands"":[""[$ContactType]"",""Other""]},""sp-css-color-WhiteFont"",""sp-css-color-WhiteFont""]}]}]}]}]}]}]}]}]}]}]}]}]}]}}},{""elmType"":""span"",""style"":{""overflow"":""hidden"",""text-overflow"":""ellipsis"",""padding"":""0 3px""},""txtContent"":""[$ContactType]"",""attributes"":{""class"":{""operator"":"":"",""operands"":[{""operator"":""=="",""operands"":[""[$ContactType]"",""Member""]},""sp-css-color-CornflowerBlueFont"",{""operator"":"":"",""operands"":[{""operator"":""=="",""operands"":[""[$ContactType]"",""Prospective Member""]},""sp-css-color-CyanFont"",{""operator"":"":"",""operands"":[{""operator"":""=="",""operands"":[""[$ContactType]"",""Alumni""]},""sp-css-color-LightGrayFont sp-field-italic"",{""operator"":"":"",""operands"":[{""operator"":""=="",""operands"":[""[$ContactType]"",""Community Partner""]},""sp-css-color-LilacFont"",{""operator"":"":"",""operands"":[{""operator"":""=="",""operands"":[""[$ContactType]"",""EFDC Leadership""]},""sp-css-color-CoralFont"",{""operator"":"":"",""operands"":[{""operator"":""=="",""operands"":[""[$ContactType]"",""EFDC Staff""]},""sp-css-color-WhiteFont"",{""operator"":"":"",""operands"":[{""operator"":""=="",""operands"":[""[$ContactType]"",""Peer-to-Peer Partner""]},""sp-css-color-LightPurpleFont"",{""operator"":"":"",""operands"":[{""operator"":""=="",""operands"":[""[$ContactType]"",""U-M Communication Contact""]},""sp-css-color-GoldFont"",{""operator"":"":"",""operands"":[{""operator"":""=="",""operands"":[""[$ContactType]"",""U-M External Partner""]},""sp-css-color-PurpleText sp-field-italic"",{""operator"":"":"",""operands"":[{""operator"":""=="",""operands"":[""[$ContactType]"",""U-M Partner""]},""sp-css-color-GoldFont"",{""operator"":"":"",""operands"":[{""operator"":""=="",""operands"":[""[$ContactType]"",""U-M Staff""]},""sp-css-color-GoldFont"",{""operator"":"":"",""operands"":[{""operator"":""=="",""operands"":[""[$ContactType]"",""Undergraduate Student""]},""sp-css-color-SageFont"",{""operator"":"":"",""operands"":[{""operator"":""=="",""operands"":[""[$ContactType]"",""Vendor""]},""sp-css-color-LilacFont"",{""operator"":"":"",""operands"":[{""operator"":""=="",""operands"":[""[$ContactType]"",""Other""]},""sp-css-color-WhiteFont sp-field-bold"",""sp-field-fontSizeMedium sp-css-color-WhiteFont sp-field-bold""]}]}]}]}]}]}]}]}]}]}]}]}]}]}}}]}],""templateId"":""BgColorChoicePill""}"
"4f2edff3-5396-4675-9dcd-4ce1a77b7638","Template","Template","False","Note","Paste your document or email here to use as a template. Available fields: [FIRSTNAME], [LASTNAME], [FULLNAME], [PI], [CENTERNAME].",,,"False","False",,,,
