"ID","ColumnDisplayName","ColumnInternalName","Required","ColumnTye","Description","Format","MaxLength","EnforceUniqueValues","Indexed","ValidationFormula","DefaultValue","DefaultFormula","CustomFormatter"
"fa564e0f-0c70-4ab9-b863-0177e6ddd247","Title","Title","False","Text","The name or title of this automation.",,"255","False","False",,,,
"4f4f36cd-8992-434a-8b3d-fdf380805aee","Flow ID","FlowID","True","Text","The ID of the flow.",,"255","True","True",,,,"{""$schema"":""https://developer.microsoft.com/json-schemas/sp/v2/column-formatting.schema.json"",""elmType"":""div"",""style"":{""display"":""-webkit-box"",""-webkit-line-clamp"":1,""-webkit-box-orient"":""vertical"",""overflow"":""hidden"",""max-height"":""2em""},""children"":[{""elmType"":""span"",""attributes"":{""title"":""@currentField""},""txtContent"":""=substring(@currentField,0,6) + '...'""}]}"
"7079a930-e9ea-4204-9992-e1febc1b28ed","Automation System","AutomationSystem","True","Choice","The system used to create this flow.",,,"False","False",,"Other",,"{""elmType"":""div"",""style"":{""flex-wrap"":""wrap"",""display"":""flex""},""children"":[{""elmType"":""div"",""style"":{""box-sizing"":""border-box"",""padding"":""4px 8px 5px 8px"",""overflow"":""hidden"",""text-overflow"":""ellipsis"",""display"":""flex"",""border-radius"":""16px"",""height"":""24px"",""align-items"":""center"",""white-space"":""nowrap"",""margin"":""4px 4px 4px 4px""},""attributes"":{""class"":{""operator"":"":"",""operands"":[{""operator"":""=="",""operands"":[""[$AutomationSystem]"",""PowerAutomate""]},""sp-css-backgroundColor-BgOrange sp-css-borderColor-WhiteFont sp-css-color-WhiteFont"",{""operator"":"":"",""operands"":[{""operator"":""=="",""operands"":[""[$AutomationSystem]"",""TDX iPaaS""]},""sp-css-backgroundColor-BgSage sp-css-borderColor-SageFont sp-css-color-SageFont"",{""operator"":"":"",""operands"":[{""operator"":""=="",""operands"":[""[$AutomationSystem]"",""PHP""]},""sp-css-backgroundColor-BgMintGreen sp-css-borderColor-MintGreenFont sp-css-color-MintGreenFont"",{""operator"":"":"",""operands"":[{""operator"":""=="",""operands"":[""[$AutomationSystem]"",""""]},"""",{""operator"":"":"",""operands"":[{""operator"":""=="",""operands"":[""[$AutomationSystem]"",""Other""]},""sp-css-backgroundColor-BgCoral sp-css-color-CoralFont"",""sp-field-borderAllRegular sp-field-borderAllSolid sp-css-borderColor-neutralSecondary""]}]}]}]}]}},""children"":[{""elmType"":""span"",""style"":{""overflow"":""hidden"",""text-overflow"":""ellipsis"",""padding"":""0 3px""},""txtContent"":""[$AutomationSystem]"",""attributes"":{""class"":{""operator"":"":"",""operands"":[{""operator"":""=="",""operands"":[""[$AutomationSystem]"",""PowerAutomate""]},""sp-css-color-WhiteFont"",{""operator"":"":"",""operands"":[{""operator"":""=="",""operands"":[""[$AutomationSystem]"",""TDX iPaaS""]},""sp-css-color-SageFont"",{""operator"":"":"",""operands"":[{""operator"":""=="",""operands"":[""[$AutomationSystem]"",""PHP""]},""sp-css-color-MintGreenFont"",{""operator"":"":"",""operands"":[{""operator"":""=="",""operands"":[""[$AutomationSystem]"",""""]},"""",{""operator"":"":"",""operands"":[{""operator"":""=="",""operands"":[""[$AutomationSystem]"",""Other""]},""sp-css-color-CoralFont"",""""]}]}]}]}]}}}]}],""templateId"":""BgColorChoicePill""}"
"fdb773e9-9c8d-4d07-9343-8f46a23113e9","Flow Type","FlowType","True","Choice","The type of flow, usually the same as the type of trigger.",,,"False","False",,"Other",,"{""elmType"":""div"",""style"":{""flex-wrap"":""wrap"",""display"":""flex""},""children"":[{""elmType"":""div"",""style"":{""box-sizing"":""border-box"",""padding"":""4px 8px 5px 8px"",""overflow"":""hidden"",""text-overflow"":""ellipsis"",""display"":""flex"",""border-radius"":""16px"",""height"":""24px"",""align-items"":""center"",""white-space"":""nowrap"",""margin"":""4px 4px 4px 4px""},""attributes"":{""class"":{""operator"":"":"",""operands"":[{""operator"":""=="",""operands"":[""[$FlowType]"",""Event-based""]},""sp-css-backgroundColor-BgGold sp-css-color-GoldFont"",{""operator"":"":"",""operands"":[{""operator"":""=="",""operands"":[""[$FlowType]"",""Manual""]},""sp-css-backgroundColor-BgMintGreen sp-css-color-MintGreenFont"",{""operator"":"":"",""operands"":[{""operator"":""=="",""operands"":[""[$FlowType]"",""""]},"""",{""operator"":"":"",""operands"":[{""operator"":""=="",""operands"":[""[$FlowType]"",""Scheduled""]},""sp-css-backgroundColor-BgCornflowerBlue sp-css-color-CornflowerBlueFont"",{""operator"":"":"",""operands"":[{""operator"":""=="",""operands"":[""[$FlowType]"",""Subroutine""]},""sp-css-backgroundColor-BgCyan sp-field-fontSizeSmall sp-css-color-CyanFont"",{""operator"":"":"",""operands"":[{""operator"":""=="",""operands"":[""[$FlowType]"",""Webhook""]},""sp-css-backgroundColor-BgTeal sp-css-borderColor-WhiteFont sp-css-color-WhiteFont"",{""operator"":"":"",""operands"":[{""operator"":""=="",""operands"":[""[$FlowType]"",""Other""]},""sp-css-backgroundColor-BgDustRose sp-css-color-DustRoseFont"",""sp-field-borderAllRegular sp-field-borderAllSolid sp-css-borderColor-neutralSecondary""]}]}]}]}]}]}]}},""children"":[{""elmType"":""span"",""style"":{""overflow"":""hidden"",""text-overflow"":""ellipsis"",""padding"":""0 3px""},""txtContent"":""[$FlowType]"",""attributes"":{""class"":{""operator"":"":"",""operands"":[{""operator"":""=="",""operands"":[""[$FlowType]"",""Event-based""]},""sp-css-color-GoldFont"",{""operator"":"":"",""operands"":[{""operator"":""=="",""operands"":[""[$FlowType]"",""Manual""]},""sp-css-color-MintGreenFont"",{""operator"":"":"",""operands"":[{""operator"":""=="",""operands"":[""[$FlowType]"",""""]},"""",{""operator"":"":"",""operands"":[{""operator"":""=="",""operands"":[""[$FlowType]"",""Scheduled""]},""sp-css-color-CornflowerBlueFont"",{""operator"":"":"",""operands"":[{""operator"":""=="",""operands"":[""[$FlowType]"",""Subroutine""]},""sp-field-fontSizeSmall sp-css-color-CyanFont"",{""operator"":"":"",""operands"":[{""operator"":""=="",""operands"":[""[$FlowType]"",""Webhook""]},""sp-css-color-WhiteFont"",{""operator"":"":"",""operands"":[{""operator"":""=="",""operands"":[""[$FlowType]"",""Other""]},""sp-css-color-DustRoseFont"",""""]}]}]}]}]}]}]}}}]}],""rulesOrder"":[2,1,3,0,6,4,5,7],""templateId"":""BgColorChoicePill""}"
"fae1ea12-2e8f-48e6-a880-e4dbc9d8fba8","Flow Environment","FlowEnvironment","False","Text","The ID of the environment to be used in URLs.",,"255","False","False",,,,
"29fe0c3e-4323-47a4-87ed-b19dd10adeab","Flow Description","FlowDescription","False","Note","A short description of what this automation does.",,,"False","False",,,,
"c7c5638a-e782-4edc-a326-c2806384c452","Flow URL","FlowURL","False","URL","The URL that can be used for launching this flow.",,,"False","False",,,,"{""$schema"":""https://developer.microsoft.com/json-schemas/sp/v2/column-formatting.schema.json"",""elmType"":""button"",""customRowAction"":{""action"":""executeFlow"",""actionParams"":""='{\""id\"": \""' + [$FlowID] + '\""}'""},""attributes"":{""class"":""ms-fontColor-themePrimary ms-fontColor-themeDarker--hover""},""style"":{""border"":""none"",""background-color"":""transparent"",""cursor"":""pointer""},""children"":[{""elmType"":""span"",""attributes"":{""iconName"":""Play""},""style"":{""padding-right"":""6px""}},{""elmType"":""span"",""txtContent"":""Run Now""}]}"
"23f27201-bee3-471e-b2e7-b64fd8b7ca38","Tags","TaxKeyword","False","TaxonomyFieldTypeMulti","Custom tags and keywords for searching.",,,"False","False",,,,"{
  ""$schema"": ""https://developer.microsoft.com/json-schemas/sp/v2/column-formatting.schema.json"",
  ""elmType"": ""div"",
  ""style"": {
    ""display"": ""flex"",
    ""flex-wrap"": ""wrap"",
    ""width"": ""100%""
  },
  ""children"": [
    {
      ""elmType"": ""div"",
      ""style"": {
        ""margin"": ""4px"",
        ""padding"": ""4px 8px 4px 8px"",
        ""border-radius"": ""10px""
      },
      ""attributes"": {
        ""class"": ""ms-bgColor-themeLighterAlt ms-bgColor-themeDarkAlt--hover ms-fontColor-themeLighterAlt--hover""
      },
      ""forEach"": ""tag in @currentField"",
      ""children"": [
        {
          ""elmType"": ""div"",
          ""style"": {
            ""vertical-align"": ""middle"",
            ""white-space"": ""nowrap"",
            ""width"": ""auto""
          },
          ""attributes"": {
            ""class"": ""ms-fontColor-themeDarker ms-fontColor-themeLighterAlt--hover ms-font-xs""
          },
		  ""children"": [
		  {
			  ""elmType"": ""a"",
			  ""attributes"": {
				""href"": ""=@currentWeb + '/_layouts/15/search.aspx/siteall?q=tags:\""' + [$tag] + '\""'"",
				""target"": ""_blank"",
				""class"": ""ms-fontColor-themeDarker ms-fontColor-themeLighterAlt--hover ms-font-xs""
              },
			  ""style"":{
				  ""text-decoration"": ""none""
			  },
			  ""children"": [
				{
				  ""elmType"": ""span"",
				  ""style"": {
					""position"": ""relative"",
					""top"": ""2px"",
					""text-decoration"": ""none""
				  },
				  ""attributes"": {
					""iconName"": ""Tag""
				  }
				},
				{
				  ""elmType"": ""span"",
				  ""style"": {
					""padding-left"": ""4px""
				  },
				  ""txtContent"": ""[$tag]""
				}
			  ]
			}
			]
		}
	  ]
    }
  ]
}"
"b4f6ba98-fc75-49b6-a62b-f763837d197e","Notes","Notes","False","Note","Additional notes, comments, links, or important remarks.",,,"False","False",,,,
"1ee0fd16-2a36-4587-b80d-b9734a504cbb","SharePoint Lists Used","SharePointLists","False","Text","List of SharePoint Lists that this flow uses.",,"255","False","False",,,,
