"ID","ColumnDisplayName","ColumnInternalName","Required","ColumnTye","Description","Format","MaxLength","EnforceUniqueValues","Indexed","ValidationFormula","DefaultValue","DefaultFormula","CustomFormatter"
"fa564e0f-0c70-4ab9-b863-0177e6ddd247","Consultation Type","Title","True","Text","(Required) The name of the consultation type provided to members or other stakeholders.",,"128","True","True",,,,
"d9e1630f-0d39-49cc-b8f1-1bd7da1ba61c","Program","Program","False","Lookup","The program or offering to which this service type belongs, for reporting purposes. The team responsible for the implementation of that program will be used as the team who provides this type of service.",,,"False","False",,,,"{""$schema"":""https://developer.microsoft.com/json-schemas/sp/v2/column-formatting.schema.json"",""elmType"":""div"",""style"":{""text-align"":""center"",""vertical-align"":""middle"",""display"":""=if(@currentField.lookupValue=='','none','inheirt')"",""text-decoration"":""none"",""cursor"":""pointer""},""customRowAction"":{""action"":""embed"",""actionInput"":{""src"":""=@currentWeb + '/Lists/Programs/ContactCards.aspx?env=WebViewList&FilterField1=Title&FilterType1=Computed&FilterOp1=In&FilterValue1=' + @currentField.lookupValue"",""height"":""500"",""width"":""560""}},""children"":[{""elmType"":""div"",""style"":{""text-align"":""center"",""vertical-align"":""middle"",""text-decoration"":""none""},""attributes"":{""href"":"""",""target"":""_blank"",""title"":""=if(@currentField.lookupValue=='', ' (not set) ', 'Click to Open')"",""class"":""ms-fontSize-18""},""children"":[{""elmType"":""span"",""attributes"":{""iconName"":""=if(@currentField.lookupValue=='', 'none', 'TaskGroup')""},""style"":{""text-align"":""center"",""vertical-align"":""middle"",""text-decoration"":""none"",""padding-left"":""2px"",""padding-right"":""3px"",""class"":""ms-fontSize-18""}},{""elmType"":""span"",""txtContent"":""=if(@currentField.lookupValue=='', '', @currentField.lookupValue)"",""attributes"":{""class"":""ms-fontSize-12""},""style"":{""padding-left"":""3px"",""padding-right"":""2px"",""vertical-align"":""middle"",""text-decoration"":""none""}}]}]}"
"294d34ea-de19-44bc-9b08-c11d95e20e68","Provided By","ProvidedBy","True","Lookup","The Team or Core who normally provides this service.",,,"False","False",,,,"{""$schema"":""https://developer.microsoft.com/json-schemas/sp/v2/column-formatting.schema.json"",""elmType"":""div"",""style"":{""text-align"":""center"",""vertical-align"":""middle"",""display"":""=if(@currentField.lookupValue=='','none','inheirt')"",""text-decoration"":""none"",""cursor"":""pointer""},""customRowAction"":{""action"":""embed"",""actionInput"":{""src"":""=@currentWeb + '/Lists/Teams%20List/ContactCards.aspx?env=WebViewList&FilterField1=Title&FilterType1=Computed&FilterOp1=In&FilterValue1=' + @currentField.lookupValue"",""height"":""500"",""width"":""560""}},""children"":[{""elmType"":""div"",""style"":{""text-align"":""center"",""vertical-align"":""middle"",""text-decoration"":""none""},""attributes"":{""href"":"""",""target"":""_blank"",""title"":""=if(@currentField.lookupValue=='', ' (not set) ', 'Click to Open')"",""class"":""ms-fontSize-18""},""children"":[{""elmType"":""span"",""attributes"":{""iconName"":""=if(@currentField.lookupValue=='', 'none', 'TeamWork')""},""style"":{""text-align"":""center"",""vertical-align"":""middle"",""text-decoration"":""none"",""padding-left"":""2px"",""padding-right"":""3px"",""class"":""ms-fontSize-18""}},{""elmType"":""span"",""txtContent"":""=if(@currentField.lookupValue=='', '', @currentField.lookupValue)"",""attributes"":{""class"":""ms-fontSize-12""},""style"":{""padding-left"":""3px"",""padding-right"":""2px"",""vertical-align"":""middle"",""text-decoration"":""none""}}]}]}"
"3aba46b9-d6c4-4009-aaee-6ca838d2d760","Description","Summary","False","Note","A short summary or description of this service.",,,"False","False",,,,
"23f27201-bee3-471e-b2e7-b64fd8b7ca38","Tags","TaxKeyword","False","TaxonomyFieldTypeMulti","Custom tags and keywords for searching.",,,"False","False",,,,"{
  ""$schema"": ""https://developer.microsoft.com/json-schemas/sp/v2/column-formatting.schema.json"",
  ""elmType"": ""div"",
  ""style"": {
    ""display"": ""flex"",
    ""flex-wrap"": ""wrap"",
    ""width"": ""100%""
  },
  ""children"": [
    {
      ""elmType"": ""div"",
      ""style"": {
        ""margin"": ""4px"",
        ""padding"": ""4px 8px 4px 8px"",
        ""border-radius"": ""10px""
      },
      ""attributes"": {
        ""class"": ""ms-bgColor-themeLighterAlt ms-bgColor-themeDarkAlt--hover ms-fontColor-themeLighterAlt--hover""
      },
      ""forEach"": ""tag in @currentField"",
      ""children"": [
        {
          ""elmType"": ""div"",
          ""style"": {
            ""vertical-align"": ""middle"",
            ""white-space"": ""nowrap"",
            ""width"": ""auto""
          },
          ""attributes"": {
            ""class"": ""ms-fontColor-themeDarker ms-fontColor-themeLighterAlt--hover ms-font-xs""
          },
		  ""children"": [
		  {
			  ""elmType"": ""a"",
			  ""attributes"": {
				""href"": ""=@currentWeb + '/_layouts/15/search.aspx/siteall?q=tags:\""' + [$tag] + '\""'"",
				""target"": ""_blank"",
				""class"": ""ms-fontColor-themeDarker ms-fontColor-themeLighterAlt--hover ms-font-xs""
              },
			  ""style"":{
				  ""text-decoration"": ""none""
			  },
			  ""children"": [
				{
				  ""elmType"": ""span"",
				  ""style"": {
					""position"": ""relative"",
					""top"": ""2px"",
					""text-decoration"": ""none""
				  },
				  ""attributes"": {
					""iconName"": ""Tag""
				  }
				},
				{
				  ""elmType"": ""span"",
				  ""style"": {
					""padding-left"": ""4px""
				  },
				  ""txtContent"": ""[$tag]""
				}
			  ]
			}
			]
		}
	  ]
    }
  ]
}"
"e80fbb8b-453b-4823-a708-10e721d66242","hiddenProvidedBy","hiddenProvidedBy","False","Text","System field used for propagating information to other lists through backend automations. Do not edit manually.",,"255","False","False",,,,
"6187d862-e950-4c7e-a983-baedb5a8d309","hiddenProgram","hiddenProgram","False","Text","System field used for propagating information to other lists through backend automations. Do not edit manually.",,"255","False","False",,,,
"82642ec8-ef9b-478f-acf9-31f7d45fbc31","Consultation Type","LinkTitle","False","Computed","",,,"False","False",,,,
"76d13cd2-1bae-45a5-8b74-545b87b65037","Color Tag","_ColorTag","False","Text","",,"255","False","False",,,,
"3a6b296c-3f50-445c-a13f-9c679ea9dda3","Compliance Asset Id","ComplianceAssetId","False","Text","",,"255","False","False",,,,
