"ID","ColumnDisplayName","ColumnInternalName","Required","ColumnTye","Description","Format","MaxLength","EnforceUniqueValues","Indexed","ValidationFormula","DefaultValue","DefaultFormula","CustomFormatter"
"fa564e0f-0c70-4ab9-b863-0177e6ddd247","Title (Optional)","Title","False","Text","(Optional) A quick one-line summary of how the member or customer engaged with us. If left empty, this field is auto-populated with the service type and recipients after saving. This field is only used for making search results more readable.",,"255","False","False",,,,
"cb254e36-38cf-436c-b799-55d0abfb9c53","Attendees","Recipient","True","LookupMulti","The attendees or recipients of this consultation. If the PI also attended, enter them here as well.",,,"False","False",,,,
"1d7e61a5-f2a1-4938-85a8-d83001300618","Project PI or Main Contact","PI","True","Lookup","The Primary Investigator or Co-Investigators of the study or project. Investigators do not need to be present at the time of service.",,,"False","False",,,,
"d6ad2fe9-7d4c-4f42-bc56-b08a693b73ce","Consultation Date","Date","True","DateTime","The date when either: a service was provided; a consultation meeting was held; email was received; or long-running activity started.",,,"False","False",,"[today]",,
"6fd9142d-ffb6-4094-9639-3fd90bf73618","Consultation Type","ServicesReceived","True","Lookup","(Required) The name of the consultation type provided to members or other stakeholders.",,,"False","False",,,,"{""$schema"":""https://developer.microsoft.com/json-schemas/sp/v2/column-formatting.schema.json"",""elmType"":""span"",""style"":{""text-decoration"":""none"",""min-width"":""340px""},""customRowAction"":{""action"":""defaultClick""},""children"":[{""elmType"":""span"",""txtContent"":""=if(@currentField.lookupValue=='', ' - ', @currentField.lookupValue)"",""style"":{""text-align"":""left"",""cursor"":""pointer"",""text-decoration"":""none"",""min-width"":""140px"",""font-weight"":""600"",""width"":""100%""}}]}"
"0bddc00d-ce7a-427f-87b7-79f690d6b11f","Follow Up Deadline","FollowUpDate","False","DateTime","If a follow up is required, this date is a reminder of when to follow up. An email reminder will be sent to the corresponding team on this date.",,,"False","False",,,,"{""$schema"":""https://developer.microsoft.com/json-schemas/sp/v2/column-formatting.schema.json"",""elmType"":""div"",""style"":{""display"":""=if(@currentField, 'flex', 'none')"",""flex-direction"":""column"",""align-items"":""flex-start"",""justify-content"":""flex-start"",""padding"":""5px"",""padding-bottom"":""0px"",""font-size"":""12px"",""color"":""#323130""},""children"":[{""elmType"":""div"",""style"":{""display"":""flex"",""align-items"":""center"",""gap"":""4px""},""attributes"":{""title"":""=if(@currentField=='', '(not set)', toDateString(@currentField))""},""children"":[{""elmType"":""span"",""txtContent"":""=if(Date(toDateString(@currentField))==Date(toDateString(@now)), 'DUE TODAY', if(floor((Date(toDateString(@currentField)) + 46800000) / 86400000) > floor((Date(toDateString(@now)) + 46800000) / 86400000), toString(floor((Date(toDateString(@currentField)) + 46800000) / 86400000 - floor((Date(toDateString(@now)) + 46800000) / 86400000))) + 'd', '-' + toString(floor((Date(toDateString(@now)) + 46800000) / 86400000 - (Date(toDateString(@currentField)) + 46800000) / 86400000)) + 'd'))"",""style"":{""font-size"":""10px"",""padding-right"":""1px""},""attributes"":{""class"":""=if(Date(toDateString(@currentField))==Date(toDateString(@now)), 'ms-fontColor-orangeLight', if(Date(toDateString(@currentField))>Date(toDateString(@now)), 'ms-fontColor-themeSecondary', 'ms-fontColor-neutralTertiary'))""}},{""elmType"":""span"",""attributes"":{""iconName"":""=if(Date(toDateString(@currentField))==Date(toDateString(@now)), 'FavoriteStarFill', if(Date(toDateString(@currentField))>Date(toDateString(@now)), 'SortUp', 'SortDown'))"",""class"":""=if(Date(toDateString(@currentField))==Date(toDateString(@now)), 'ms-fontColor-orangeLight', if(Date(toDateString(@currentField))>Date(toDateString(@now)), 'ms-fontColor-themeSecondary', 'ms-fontColor-neutralTertiary'))""},""style"":{""font-size"":""10px""}}]},{""elmType"":""div"",""inlineEditField"":""@currentField"",""style"":{""display"":""flex"",""align-items"":""center"",""gap"":""4px"",""margin-top"":""2px"",""text-decoration"":""=if(Date(toDateString(@currentField))>=Date(toDateString(@now)), 'none', 'line-through')""},""attributes"":{""class"":""=if(Date(toDateString(@currentField))==Date(toDateString(@now)), 'ms-fontColor-red', if(Date(toDateString(@currentField))>Date(toDateString(@now)), 'ms-fontColor-neutralPrimary', 'ms-fontColor-neutralTertiary'))"",""title"":""=if(@currentField=='', '(not set)', toDateString(@currentField)) + ' (click to edit)'""},""children"":[{""elmType"":""span"",""attributes"":{""iconName"":""=if(Date(toDateString(@currentField))==Date(toDateString(@now)), 'GotoToday', 'Calendar')""},""style"":{""font-size"":""12px"",""padding-right"":""5px""}},{""elmType"":""span"",""txtContent"":""=@currentField.displayValue"",""style"":{""font-weight"":""=if(Date(toDateString(@currentField))>=Date(toDateString(@now)), '500', '400')""}}]}]}"
"7bc1b468-54e2-446a-b404-5e7f544e7abb","Notebook Link","Notebook","False","Note","Link to OneNote Notebook, Google Docs, etc.",,,"False","False",,,,"{""$schema"":""https://developer.microsoft.com/json-schemas/sp/v2/column-formatting.schema.json"",""elmType"":""div"",""children"":[{""elmType"":""a"",""style"":{""text-decoration"":""none""},""attributes"":{""href"":""=@currentField"",""iconName"":""=if(@currentField=='','none',if(indexOf(@currentField,'OneNote.aspx')>0 || (indexOf(@currentField,'Doc.aspx')>0 && indexOf(@currentField,'.one')>0),'OneNoteLogo','FileSymlink'))"",""target"":""_blank"",""title"":""=if(@currentField=='', '(not set)', 'Click to open')"",""class"":""ms-fontSize-28""},""txtContent"":""=if(@currentField=='', '', ' ')""}]}"
"d876117f-2abf-4640-8379-371ffe27058e","Fiscal Year","FiscalYear","False","Calculated","The fiscal year when this service was provided (7/1 - 6/30).",,,"False","False",,,,
"bd2ca9e1-597d-495f-95b1-0c1a27515be2","Calendar Year","CalendarYear","False","Calculated","The year when this service was provided.",,,"False","False",,,,
"f912f7b3-d7a5-4edf-9226-06979d5484dd","Publications","Publications","False","Note","Publications, code repositories, and news articles that were a direct or indirect result of this consultation. If the center or a specific core was credited, include that information here.",,,"False","False",,,,
