"ID","ColumnDisplayName","ColumnInternalName","Required","ColumnTye","Description","Format","MaxLength","EnforceUniqueValues","Indexed","ValidationFormula","DefaultValue","DefaultFormula","CustomFormatter"
"fa564e0f-0c70-4ab9-b863-0177e6ddd247","Full Name","Title","False","Text","Full name, required for all contacts in the Do Not Contact list.",,"255","False","False",,,,
"91fc052b-265b-4649-8ce2-e909498c8ebf","UniqName","UniqName","True","Text","U-M UniqName (user id), or email address for non-UM contacts.",,"255","True","True","=IF(ISNUMBER(SEARCH(""umich.edu"",UniqName)),FALSE,TRUE)",,,
"090cc49e-1972-4b55-99b3-56bbfdce9268","Preferred Email (Override)","PreferredEmail","False","Text","Preferred email address. Only needed for External Contacts or to manually override an @umich.edu address.",,"64","True","True","=IF(OR([Preferred Email (Override)]="""",ISNUMBER(SEARCH(""@"",[Preferred Email (Override)]))),TRUE,FALSE)",,,"{""$schema"":""https://developer.microsoft.com/json-schemas/sp/v2/column-formatting.schema.json"",""elmType"":""div"",""children"":[{""elmType"":""span"",""style"":{""padding-right"":""8px""},""txtContent"":""@currentField""},{""elmType"":""a"",""style"":{""text-decoration"":""none""},""attributes"":{""iconName"":""=if(@currentField=='','None','Mail')"",""class"":""sp-field-quickActions"",""href"":{""operator"":""+"",""operands"":[""mailto:"",""@currentField""]}}}]}"
"f7697223-c125-47c2-b28a-7ff5ee15c415","Email","Email","False","Calculated","Email address, which defaults to the user's U-M level 1 email (@umich.edu) unless overridden by the Preferred Email field.",,,"False","False",,,,"{""$schema"":""https://developer.microsoft.com/json-schemas/sp/v2/column-formatting.schema.json"",""elmType"":""div"",""children"":[{""elmType"":""span"",""style"":{""padding-right"":""8px""},""txtContent"":""@currentField""},{""elmType"":""a"",""style"":{""text-decoration"":""none""},""attributes"":{""iconName"":""=if(@currentField=='','None','Mail')"",""class"":""sp-field-quickActions"",""href"":{""operator"":""+"",""operands"":[""mailto:"",""@currentField""]}}}]}"
"8d1915aa-7780-467f-9ce1-6d432777555a","Channels","Channels","True","MultiChoice","The specific type of communication for which this contact requested to not be contacted.",,,"False","False",,"All Communications",,"{""elmType"":""div"",""style"":{""flex-wrap"":""wrap"",""display"":""flex""},""children"":[{""forEach"":""__INTERNAL__ in @currentField"",""elmType"":""div"",""style"":{""box-sizing"":""border-box"",""padding"":""4px 8px 5px 8px"",""overflow"":""hidden"",""text-overflow"":""ellipsis"",""display"":""flex"",""border-radius"":""16px"",""height"":""24px"",""align-items"":""center"",""white-space"":""nowrap"",""margin"":""4px 4px 4px 4px""},""attributes"":{""class"":{""operator"":"":"",""operands"":[{""operator"":""=="",""operands"":[""[$__INTERNAL__]"",""All Communications""]},""sp-css-backgroundColor-BgRed sp-css-borderColor-WhiteFont sp-css-color-WhiteFont"",{""operator"":"":"",""operands"":[{""operator"":""=="",""operands"":[""[$__INTERNAL__]"",""Member Newsletter""]},""sp-css-backgroundColor-BgMintGreen sp-css-color-MintGreenFont"",{""operator"":"":"",""operands"":[{""operator"":""=="",""operands"":[""[$__INTERNAL__]"",""Mobile Tech Outreach""]},""sp-css-backgroundColor-BgGold sp-css-color-GoldFont"",{""operator"":"":"",""operands"":[{""operator"":""=="",""operands"":[""[$__INTERNAL__]"",""Data and Design Outreach""]},""sp-css-backgroundColor-BgGold sp-css-borderColor-GoldFont sp-css-color-GoldFont"",{""operator"":"":"",""operands"":[{""operator"":""=="",""operands"":[""[$__INTERNAL__]"",""Research Innovation Outreach""]},""sp-css-backgroundColor-BgGold sp-css-borderColor-GoldFont sp-css-color-GoldFont"",{""operator"":"":"",""operands"":[{""operator"":""=="",""operands"":[""[$__INTERNAL__]"",""P2P Outreach""]},""sp-css-backgroundColor-BgLilac sp-css-borderColor-LilacFont sp-css-color-LilacFont"",{""operator"":"":"",""operands"":[{""operator"":""=="",""operands"":[""[$__INTERNAL__]"",""PAVE Outreach""]},""sp-css-backgroundColor-BgLilac sp-css-borderColor-LilacFont sp-css-color-LilacFont"",{""operator"":"":"",""operands"":[{""operator"":""=="",""operands"":[""[$__INTERNAL__]"",""Technology Experience Dashboard""]},""sp-css-backgroundColor-BgCornflowerBlue sp-css-borderColor-CornflowerBlueFont sp-css-color-CornflowerBlueFont"",""sp-field-borderAllRegular sp-field-borderAllSolid sp-css-borderColor-neutralSecondary""]}]}]}]}]}]}]}]}},""children"":[{""elmType"":""span"",""style"":{""overflow"":""hidden"",""text-overflow"":""ellipsis"",""padding"":""0 3px""},""txtContent"":""[$__INTERNAL__]"",""attributes"":{""class"":{""operator"":"":"",""operands"":[{""operator"":""=="",""operands"":[""[$__INTERNAL__]"",""All Communications""]},""sp-css-color-WhiteFont"",{""operator"":"":"",""operands"":[{""operator"":""=="",""operands"":[""[$__INTERNAL__]"",""Member Newsletter""]},""sp-css-color-MintGreenFont"",{""operator"":"":"",""operands"":[{""operator"":""=="",""operands"":[""[$__INTERNAL__]"",""Mobile Tech Outreach""]},""sp-css-color-GoldFont"",{""operator"":"":"",""operands"":[{""operator"":""=="",""operands"":[""[$__INTERNAL__]"",""Data and Design Outreach""]},""sp-css-color-GoldFont"",{""operator"":"":"",""operands"":[{""operator"":""=="",""operands"":[""[$__INTERNAL__]"",""Research Innovation Outreach""]},""sp-css-color-GoldFont"",{""operator"":"":"",""operands"":[{""operator"":""=="",""operands"":[""[$__INTERNAL__]"",""P2P Outreach""]},""sp-css-color-LilacFont"",{""operator"":"":"",""operands"":[{""operator"":""=="",""operands"":[""[$__INTERNAL__]"",""PAVE Outreach""]},""sp-css-color-LilacFont"",{""operator"":"":"",""operands"":[{""operator"":""=="",""operands"":[""[$__INTERNAL__]"",""Technology Experience Dashboard""]},""sp-css-color-CornflowerBlueFont"",""""]}]}]}]}]}]}]}]}}}]}],""templateId"":""BgColorChoicePill""}"
"48c189e4-3f4b-4e5c-ab08-49c21072cf3d","Reason","Reason","False","Text","The reason provided (optional).",,"255","False","False",,,,
"a7c057d6-5564-4e7a-8f93-d9c741bcc400","Associated People Record","LinkedPeople","False","Lookup","(Automatic) The record in the People list that corresponds to this entry, to facilitate reporting.",,,"False","False",,,,
"23f27201-bee3-471e-b2e7-b64fd8b7ca38","Tags","TaxKeyword","False","TaxonomyFieldTypeMulti","Custom tags and keywords for searching.",,,"False","False",,,,"{
  ""$schema"": ""https://developer.microsoft.com/json-schemas/sp/v2/column-formatting.schema.json"",
  ""elmType"": ""div"",
  ""style"": {
    ""display"": ""flex"",
    ""flex-wrap"": ""wrap"",
    ""width"": ""100%""
  },
  ""children"": [
    {
      ""elmType"": ""div"",
      ""style"": {
        ""margin"": ""4px"",
        ""padding"": ""4px 8px 4px 8px"",
        ""border-radius"": ""10px""
      },
      ""attributes"": {
        ""class"": ""ms-bgColor-themeLighterAlt ms-bgColor-themeDarkAlt--hover ms-fontColor-themeLighterAlt--hover""
      },
      ""forEach"": ""tag in @currentField"",
      ""children"": [
        {
          ""elmType"": ""div"",
          ""style"": {
            ""vertical-align"": ""middle"",
            ""white-space"": ""nowrap"",
            ""width"": ""auto""
          },
          ""attributes"": {
            ""class"": ""ms-fontColor-themeDarker ms-fontColor-themeLighterAlt--hover ms-font-xs""
          },
		  ""children"": [
		  {
			  ""elmType"": ""a"",
			  ""attributes"": {
				""href"": ""=@currentWeb + '/_layouts/15/search.aspx/siteall?q=tags:\""' + [$tag] + '\""'"",
				""target"": ""_blank"",
				""class"": ""ms-fontColor-themeDarker ms-fontColor-themeLighterAlt--hover ms-font-xs""
              },
			  ""style"":{
				  ""text-decoration"": ""none""
			  },
			  ""children"": [
				{
				  ""elmType"": ""span"",
				  ""style"": {
					""position"": ""relative"",
					""top"": ""2px"",
					""text-decoration"": ""none""
				  },
				  ""attributes"": {
					""iconName"": ""Tag""
				  }
				},
				{
				  ""elmType"": ""span"",
				  ""style"": {
					""padding-left"": ""4px""
				  },
				  ""txtContent"": ""[$tag]""
				}
			  ]
			}
			]
		}
	  ]
    }
  ]
}"
"82642ec8-ef9b-478f-acf9-31f7d45fbc31","Full Name","LinkTitle","False","Computed","",,,"False","False",,,,
"76d13cd2-1bae-45a5-8b74-545b87b65037","Color Tag","_ColorTag","False","Text","",,"255","False","False",,,,
"3a6b296c-3f50-445c-a13f-9c679ea9dda3","Compliance Asset Id","ComplianceAssetId","False","Text","",,"255","False","False",,,,
"bc91a437-52e7-49e1-8c4e-4698904b2b6d","Full Name","LinkTitleNoMenu","False","Computed","",,,"False","False",,,,
"716b9f15-3096-4efa-b929-7f94ed055085","People Additional Email 1","LinkedPeople_x003a_Additional_x0","False","Lookup","",,,"False","False",,,,
"8ef12ece-e23e-4df2-85d8-53cfcb873cbe","People Additional Email 2","LinkedPeople_x003a_Additional_x00","False","Lookup","",,,"False","False",,,,
"fee13a41-d970-401b-89b0-830acc40e7f8","People Primary Email","LinkedPeople_x003a_Email","False","Lookup","",,,"False","False",,,,
"1d22ea11-1e32-424e-89ab-9fedbadb6ce1","ID","ID","False","Counter","",,,"False","False",,,,
"c042a256-787d-4a6f-8a8a-cf6ab767f12d","Content Type","ContentType","False","Computed","",,,"False","False",,,,
"28cf69c5-fa48-462a-b5cd-27b6f9d2bd5f","Modified","Modified","False","DateTime","",,,"False","False",,,,
"8c06beca-0777-48f7-91c7-6da68bc07b69","Created","Created","False","DateTime","",,,"False","False",,,,
"1df5e554-ec7e-46a6-901d-d85a3881cb18","Created By","Author","False","User","",,,"False","False",,,,
"d31655d1-1d5b-4511-95a1-7a09e9b75bf2","Modified By","Editor","False","User","",,,"False","False",,,,
"dce8262a-3ae9-45aa-aab4-83bd75fb738a","Version","_UIVersionString","False","Text","",,"255","False","False",,,,
