"ID","ColumnDisplayName","ColumnInternalName","Required","ColumnTye","Description","Format","MaxLength","EnforceUniqueValues","Indexed","ValidationFormula","DefaultValue","DefaultFormula","CustomFormatter"
"fa564e0f-0c70-4ab9-b863-0177e6ddd247","Event Title","Title","True","Text","(Required) The title of the event. This value must be unique. For repeating events, use the title of the event series followed by the date to make this value unique.",,"255","True","True",,,,
"867efc43-c6ae-44c9-ad52-2a78563a5f07","Event Date","EventDate","True","DateTime","The date when the event occurred.",,,"False","False",,"[today]",,
"faf66ac1-8a38-4fd4-a439-e22a7d95d02e","Overall Rating","OverallRating","False","Number","The overall or average rating (0-5) for the event provided by the attendees.",,,"False","False",,,,"{
  ""$schema"": ""https://developer.microsoft.com/json-schemas/sp/v2/column-formatting.schema.json"",
  ""elmType"": ""div"",
  ""style"": {
    ""display"": ""flex"",
    ""flex-direction"": ""row"",
    ""white-space"": ""nowrap""
  },
  ""children"": [
    {
      ""elmType"": ""div"",
      ""style"": {
        ""font-size"": ""24px"",
        ""position"": ""relative""
      },
      ""children"": [
        {
          ""elmType"": ""div"",
          ""txtContent"": ""★★★★★"",
          ""attributes"": {
            ""class"": ""ms-fontColor-neutralTertiaryAlt""
          }
        },
        {
          ""elmType"": ""div"",
          ""txtContent"": ""★★★★★"",
          ""style"": {
            ""position"": ""absolute"",
            ""top"": ""0"",
            ""overflow"": ""hidden"",
            ""max-width"": ""100%"",
            ""width"": ""=if(@currentField < 0, '0px',(@currentField / 5) * 100 + '%')""
          },
          ""attributes"": {
            ""class"": ""ms-fontColor-themePrimary""
          }
        }
      ]
    },
    {
      ""elmType"": ""div"",
      ""txtContent"": ""@currentField.displayValue"",
      ""style"": {
        ""margin-left"": ""10px"",
        ""font-size"": ""16px""
      }
    }
  ]
}"
"b630b50f-eafc-43d8-96fc-eaa4fab648ba","Registrants","Registrants","False","LookupMulti","List of people who pre-registered for the event, excluding walk-ins.",,,"False","False",,,,"{""$schema"":""https://developer.microsoft.com/json-schemas/sp/v2/column-formatting.schema.json"",""elmType"":""div"",""style"":{""display"":""flex"",""flex-direction"":""column"",""align-items"":""flex-start"",""padding"":""11px 0"",""min-height"":""0""},""inlineEditField"":""@currentField"",""children"":[{""forEach"":""itemIterator in @currentField"",""elmType"":""div"",""txtContent"":""=if(length(@currentField)>9 && loopIndex('itemIterator')==9, '+ ' + toString(length(@currentField)-9) + ' more.', [$itemIterator.lookupValue])"",""style"":{""padding-bottom"":""1px"",""display"":""=if(length(@currentField)>9 && loopIndex('itemIterator')>=10, 'none', 'inline-block')""}}]}"
"a764b989-2b0a-4a29-9ccd-41f04234bb49","Attendees","Attendees0","False","LookupMulti","List of even attendees, if available.",,,"False","False",,,,"{""$schema"":""https://developer.microsoft.com/json-schemas/sp/v2/column-formatting.schema.json"",""elmType"":""div"",""style"":{""display"":""flex"",""flex-direction"":""column"",""align-items"":""flex-start"",""padding"":""11px 0"",""min-height"":""0""},""inlineEditField"":""@currentField"",""children"":[{""forEach"":""itemIterator in @currentField"",""elmType"":""div"",""txtContent"":""=if(length(@currentField)>9 && loopIndex('itemIterator')==9, '+ ' + toString(length(@currentField)-9) + ' more.', [$itemIterator.lookupValue])"",""style"":{""padding-bottom"":""1px"",""display"":""=if(length(@currentField)>9 && loopIndex('itemIterator')>=10, 'none', 'inline-block')""}}]}"
"fc210fd8-2a3d-4c84-aa1b-272a1ffec4f5","Calculate Totals Automatically?","AutoCalculateCounts","False","Boolean","If checked, the # of registrants and # of attendees will be auto-calculated using their corresponding columns. If unchecked, you can specify a value manually and it will not get overridden.",,,"False","False",,"0",,
"bb122fdc-7b48-47cf-9165-4d34023c364e","# Registrants","RegistrantsCount","False","Number","The approximate number of pre-registered participants, excluding walk-ins.",,,"False","False",,,,
"cc0cb6ce-9b4f-4d46-83d0-cfbc95811758","# Attendees","AttendeesCount","False","Number","The approximate number of attendees, including walk-ins, guests, and those joining by phone.",,,"False","False",,,,
"6e37dca9-e019-4641-a5e1-4bdafcc08c37","Speakers or Presenters","Speakers","False","LookupMulti","List of presenters / speakers.",,,"False","False",,,,
"1a06bfaf-0ad1-41c0-8474-e5361c132a46","Vendors","Vendors","False","LookupMulti","List of vendors used in this event. Must exist in the People list first.",,,"False","False",,,,
"cc013fe3-5d0a-4206-bde1-780848c656ca","Event Location","EventLocation","False","Note","The physical location of the event, if applicable.",,,"False","False",,,,
"a7fc2235-992f-478c-b516-4335166a1e45","Event Webpage","Webpage","False","URL","The URL to the webpage or announcement for the event.",,,"False","False",,,,
"9b1795c6-95eb-47c5-b7bf-d469f3495fb9","Shared Folder","SharedFolder","False","URL","Link to the shared folder or shared drive where event files are stored (e.g. agenda, program, slides, etc.)",,,"False","False",,,,"{""$schema"":""https://developer.microsoft.com/json-schemas/sp/v2/column-formatting.schema.json"",""elmType"":""div"",""style"":{""text-align"":""center"",""vertical-align"":""middle"",""display"":""=if(@currentField=='','none','inheirt')""},""children"":[{""elmType"":""a"",""style"":{""text-align"":""center"",""vertical-align"":""middle""},""attributes"":{""href"":""@currentField"",""target"":""_blank"",""title"":""=if(@currentField=='', ' (not set) ', if(@currentField.desc=='' || @currentField.desc==@currentField,'Click to open',@currentField.desc))"",""class"":""ms-fontSize-18""},""children"":[{""elmType"":""span"",""attributes"":{""iconName"":""=if(@currentField=='', 'none', 'FabricNetworkFolder')""},""style"":{""text-align"":""center"",""vertical-align"":""middle"",""text-decoration"":""none"",""padding-left"":""2px"",""padding-right"":""3px"",""class"":""ms-fontSize-18""}},{""elmType"":""span"",""txtContent"":""=if(@currentField=='', '', 'Shared Drive')"",""attributes"":{""class"":""ms-fontSize-12""},""style"":{""padding-left"":""3px"",""padding-right"":""2px"",""vertical-align"":""middle""}}]}]}"
"52e57e1a-08ca-4762-a7d9-a2cde1af21d6","Event Recording","Video","False","URL","Link to video recording (or playlist), if available. For individual videos, use the video's ""Share"" button to get the link. For playlists, right-click ""Play All"" and copy the link.",,,"False","False",,,,"{""$schema"":""https://developer.microsoft.com/json-schemas/sp/v2/column-formatting.schema.json"",""elmType"":""div"",""style"":{""width"":""160px"",""height"":""90px""},""children"":[{""elmType"":""a"",""style"":{""display"":""=if(indexOf(@currentField,'youtube.com/')>0 || indexOf(@currentField,'youtube-nocookie.com/')>0 || indexOf(@currentField,'youtu.be/')>0, 'none', 'inherit')"",""text-decoration"":""none"",""text-color"":""red""},""attributes"":{""href"":""@currentField"",""iconName"":""=if(@currentField=='', 'none', 'MSNVideosSolid')"",""target"":""_blank"",""title"":""=if(@currentField.desc=='', if(@currentField=='', ' - ', @currentField), @currentField.desc)"",""class"":""ms-fontSize-42""}},{""elmType"":""div"",""style"":{""width"":""160px"",""height"":""90px"",""display"":""=if(indexOf(@currentField,'youtube.com/')>0 || indexOf(@currentField,'youtube-nocookie.com/')>0 || indexOf(@currentField,'youtu.be/')>0, 'inherit', 'none')""},""customRowAction"":{""action"":""embed"",""actionInput"":{""src"":""=if(indexOf(@currentField, '/embed')>1,@currentField,replace(replace(replace(replace(replace(@currentField,'https://youtu.be/','https://www.youtube.com/'),'https://www.youtube-nocookie.com/','https://www.youtube.com/'),'/watch?v=','/'),'/playlist?','/'),'.com/',if(indexOf(@currentField, 'list=')>1 && indexOf(@currentField, 'videoseries?')<1,'.com/embed/videoseries?','.com/embed/')))"",""width"":""560"",""height"":""315""}},""children"":[{""elmType"":""img"",""attributes"":{""title"":""=if(@currentField.desc=='', if(@currentField=='', ' - ', @currentField), @currentField.desc)"",""src"":""='https://img.youtube.com/vi/' + substring( replace(replace(replace(@currentField,'/watch?v=','/'),'/videoseries?si=','/'), '&', '?') , lastIndexOf(  replace(replace(replace(@currentField,'/watch?v=','/'),'/videoseries?si=','/'), '&', '?')  ,'/')+1 ,  if( indexOf(  replace(replace(replace(@currentField,'/watch?v=','/'),'/videoseries?si=','/'), '&', '?')  ,'?')>1, indexOf(  replace(replace(replace(@currentField,'/watch?v=','/'),'/videoseries?si=','/'), '&', '?')  ,'?'), 100 )  ) + '/mqdefault.jpg'""},""style"":{""max-width"":""160px""}}]}]}"
"b2412333-c200-42cf-8d5d-56b206bd5fca","Center Expenses","Expenses","False","Currency","The total internal cost (expenses that come from the center's budget). This excludes any portions paid by others.",,,"False","False",,,,
"4c2da8ba-d792-451c-b21f-2db356ea16d8","Total Cost","Cost","False","Currency","The total cost incurred to host this event, including the center's and other's portions.",,,"False","False",,,,
"d34c7f42-63e9-40c6-a6f3-b29168dd691a","Event Description","EventDescription","False","Note","The public description or summary for this event.",,,"False","False",,,,
"d9e1bfc4-e1d8-44a4-906e-9bdb8254f129","Notes","Notes","False","Note","Additional notes, comments, links, or important remarks.",,,"False","False",,,,
"57ec072c-f5d5-473c-a4a5-8a114982b18a","Research Areas","ResearchAreas","False","TaxonomyFieldTypeMulti","The research area focus for this event, from the center's pre-defined taxonomy.",,,"False","False",,"",,
"c3dedbd4-d3a5-4aa4-a608-dd4edf98db4c","Research Methodologies and Applications","ResearchMethodologies","False","TaxonomyFieldTypeMulti","The research methodology and applications focus for this event, from the center's pre-defined taxonomy.",,,"False","False",,"",,
"9fe01d62-f1c4-4c4f-81f2-387950470188","Population Focus","Populations","False","TaxonomyFieldTypeMulti","The population focus for this event, from the center's pre-defined taxonomy.",,,"False","False",,"",,
"23f27201-bee3-471e-b2e7-b64fd8b7ca38","Tags","TaxKeyword","False","TaxonomyFieldTypeMulti","Custom tags and keywords for searching.",,,"False","False",,,,"{
  ""$schema"": ""https://developer.microsoft.com/json-schemas/sp/v2/column-formatting.schema.json"",
  ""elmType"": ""div"",
  ""style"": {
    ""display"": ""flex"",
    ""flex-wrap"": ""wrap"",
    ""width"": ""100%""
  },
  ""children"": [
    {
      ""elmType"": ""div"",
      ""style"": {
        ""margin"": ""4px"",
        ""padding"": ""4px 8px 4px 8px"",
        ""border-radius"": ""10px""
      },
      ""attributes"": {
        ""class"": ""ms-bgColor-themeLighterAlt ms-bgColor-themeDarkAlt--hover ms-fontColor-themeLighterAlt--hover""
      },
      ""forEach"": ""tag in @currentField"",
      ""children"": [
        {
          ""elmType"": ""div"",
          ""style"": {
            ""vertical-align"": ""middle"",
            ""white-space"": ""nowrap"",
            ""width"": ""auto""
          },
          ""attributes"": {
            ""class"": ""ms-fontColor-themeDarker ms-fontColor-themeLighterAlt--hover ms-font-xs""
          },
		  ""children"": [
		  {
			  ""elmType"": ""a"",
			  ""attributes"": {
				""href"": ""=@currentWeb + '/_layouts/15/search.aspx/siteall?q=tags:\""' + [$tag] + '\""'"",
				""target"": ""_blank"",
				""class"": ""ms-fontColor-themeDarker ms-fontColor-themeLighterAlt--hover ms-font-xs""
              },
			  ""style"":{
				  ""text-decoration"": ""none""
			  },
			  ""children"": [
				{
				  ""elmType"": ""span"",
				  ""style"": {
					""position"": ""relative"",
					""top"": ""2px"",
					""text-decoration"": ""none""
				  },
				  ""attributes"": {
					""iconName"": ""Tag""
				  }
				},
				{
				  ""elmType"": ""span"",
				  ""style"": {
					""padding-left"": ""4px""
				  },
				  ""txtContent"": ""[$tag]""
				}
			  ]
			}
			]
		}
	  ]
    }
  ]
}"
"a2b89fee-2696-4e8f-93fe-5b9443c12c36","Program","Program","False","Lookup","",,,"False","False",,,,"{""$schema"":""https://developer.microsoft.com/json-schemas/sp/v2/column-formatting.schema.json"",""elmType"":""div"",""style"":{""text-align"":""center"",""vertical-align"":""middle"",""display"":""=if(@currentField.lookupValue=='','none','inheirt')"",""text-decoration"":""none"",""cursor"":""pointer""},""customRowAction"":{""action"":""embed"",""actionInput"":{""src"":""=@currentWeb + '/Lists/Programs/ContactCards.aspx?env=WebViewList&FilterField1=Title&FilterType1=Computed&FilterOp1=In&FilterValue1=' + @currentField.lookupValue"",""height"":""500"",""width"":""560""}},""children"":[{""elmType"":""div"",""style"":{""text-align"":""center"",""vertical-align"":""middle"",""text-decoration"":""none""},""attributes"":{""href"":"""",""target"":""_blank"",""title"":""=if(@currentField.lookupValue=='', ' (not set) ', 'Click to Open')"",""class"":""ms-fontSize-18""},""children"":[{""elmType"":""span"",""attributes"":{""iconName"":""=if(@currentField.lookupValue=='', 'none', 'TaskGroup')""},""style"":{""text-align"":""center"",""vertical-align"":""middle"",""text-decoration"":""none"",""padding-left"":""2px"",""padding-right"":""3px"",""class"":""ms-fontSize-18""}},{""elmType"":""span"",""txtContent"":""=if(@currentField.lookupValue=='', '', @currentField.lookupValue)"",""attributes"":{""class"":""ms-fontSize-12""},""style"":{""padding-left"":""3px"",""padding-right"":""2px"",""vertical-align"":""middle"",""text-decoration"":""none""}}]}]}"
"4d8d757c-ecf7-4f70-8b78-57e1658685bb","Event Year-Month","EventYearMonth","False","Calculated","The event date formatted as ""yyyy-mm mmmm"" (e.g. 2025-01 January, 2026-12 December). This field can be used to facilitate sorting.",,,"False","False",,,,
"51c7e6f5-eee8-46d7-9313-f6e9d44d4a28","Fiscal Year","FiscalYear","False","Calculated","The fiscal year when this event took place (7/1 - 6/30).",,,"False","False",,,,
"bb12a74a-258c-493a-87f3-e512318b2b3a","Calendar Year","CalendarYear","False","Calculated","The year when this event took place.",,,"False","False",,,,
"82642ec8-ef9b-478f-acf9-31f7d45fbc31","Event Title","LinkTitle","False","Computed","",,,"False","False",,,,
"76d13cd2-1bae-45a5-8b74-545b87b65037","Color Tag","_ColorTag","False","Text","",,"255","False","False",,,,
"3a6b296c-3f50-445c-a13f-9c679ea9dda3","Compliance Asset Id","ComplianceAssetId","False","Text","",,"255","False","False",,,,
"bc91a437-52e7-49e1-8c4e-4698904b2b6d","Event Title","LinkTitleNoMenu","False","Computed","",,,"False","False",,,,
"1d22ea11-1e32-424e-89ab-9fedbadb6ce1","ID","ID","False","Counter","",,,"False","False",,,,
"c042a256-787d-4a6f-8a8a-cf6ab767f12d","Content Type","ContentType","False","Computed","",,,"False","False",,,,
"28cf69c5-fa48-462a-b5cd-27b6f9d2bd5f","Modified","Modified","False","DateTime","",,,"False","False",,,,
"8c06beca-0777-48f7-91c7-6da68bc07b69","Created","Created","False","DateTime","",,,"False","False",,,,
"1df5e554-ec7e-46a6-901d-d85a3881cb18","Created By","Author","False","User","",,,"False","False",,,,
"d31655d1-1d5b-4511-95a1-7a09e9b75bf2","Modified By","Editor","False","User","",,,"False","False",,,,
"dce8262a-3ae9-45aa-aab4-83bd75fb738a","Version","_UIVersionString","False","Text","",,"255","False","False",,,,
"67df98f4-9dec-48ff-a553-29bece9c5bf4","Attachments","Attachments","False","Attachments","",,,"False","False",,,,
"503f1caa-358e-4918-9094-4a2cdc4bc034","Edit","Edit","False","Computed","",,,"False","False",,,,
"081c6e4c-5c14-4f20-b23e-1a71ceb6a67c","Type","DocIcon","False","Computed","",,,"False","False",,,,
"b824e17e-a1b3-426e-aecf-f0184d900485","Item Child Count","ItemChildCount","False","Lookup","",,,"False","False",,,,
"960ff01f-2b6d-4f1b-9c3f-e19ad8927341","Folder Child Count","FolderChildCount","False","Lookup","",,,"False","False",,,,
"ccc1037f-f65e-434a-868e-8c98af31fe29","Label setting","_ComplianceFlags","False","Lookup","",,,"False","False",,,,
"d4b6480a-4bed-4094-9a52-30181ea38f1d","Retention label","_ComplianceTag","False","Lookup","",,,"False","False",,,,
"92be610e-ddbb-49f4-b3b1-5c2bc768df8f","Retention label Applied","_ComplianceTagWrittenTime","False","Lookup","",,,"False","False",,,,
"418d7676-2d6f-42cf-a16a-e43d2971252a","Label applied by","_ComplianceTagUserId","False","Lookup","",,,"False","False",,,,
"8382d247-72a9-44b1-9794-7b177edc89f3","Item is a Record","_IsRecord","False","Computed","",,,"False","False",,,,
"6bfaba20-36bf-44b5-a1b2-eb6346d49716","App Created By","AppAuthor","False","Lookup","",,,"False","False",,,,
"e08400f3-c779-4ed2-a18c-ab7f34caa318","App Modified By","AppEditor","False","Lookup","",,,"False","False",,,,
