"ID","ColumnDisplayName","ColumnInternalName","Required","ColumnTye","Description","Format","MaxLength","EnforceUniqueValues","Indexed","ValidationFormula","DefaultValue","DefaultFormula","CustomFormatter"
"fa564e0f-0c70-4ab9-b863-0177e6ddd247","Full Name","Title","False","Text","Full name, required only for non-UM contacts. For UM contacts, leave blank to auto-populate.",,"255","False","False",,,,
"b879a968-4e35-494f-9c4f-b43e67a425a0","UniqName","UniqName","True","Text","U-M UniqName (user id), or email address for non-UM contacts.",,"255","True","True","=IF(ISNUMBER(SEARCH(""umich.edu"",UniqName)),FALSE,TRUE)",,,
"d4a41592-76cc-41dd-aa66-3f0fef106a59","Contact Type","ContactType","True","Choice","Type of contact (e.g. member, prospective member, staff, student).",,,"False","False",,"Other",,"{""elmType"":""div"",""style"":{""flex-wrap"":""wrap"",""display"":""flex""},""children"":[{""elmType"":""div"",""style"":{""box-sizing"":""border-box"",""padding"":""4px 8px 5px 8px"",""overflow"":""hidden"",""text-overflow"":""ellipsis"",""display"":""flex"",""border-radius"":""16px"",""height"":""24px"",""align-items"":""center"",""white-space"":""nowrap"",""margin"":""4px 4px 4px 4px""},""attributes"":{""class"":{""operator"":"":"",""operands"":[{""operator"":""=="",""operands"":[""[$ContactType]"",""Member""]},""sp-css-backgroundColor-BgCornflowerBlue"",{""operator"":"":"",""operands"":[{""operator"":""=="",""operands"":[""[$ContactType]"",""Prospective Member""]},""sp-css-backgroundColor-BgCyan sp-css-borderColor-CyanFont"",{""operator"":"":"",""operands"":[{""operator"":""=="",""operands"":[""[$ContactType]"",""Alumni""]},""sp-css-backgroundColor-BgLightGray sp-css-borderColor-LightGrayFont"",{""operator"":"":"",""operands"":[{""operator"":""=="",""operands"":[""[$ContactType]"",""Community Partner""]},""sp-css-backgroundColor-BgLilac sp-css-borderColor-LilacFont"",{""operator"":"":"",""operands"":[{""operator"":""=="",""operands"":[""[$ContactType]"",""EFDC Leadership""]},""sp-css-backgroundColor-BgCoral sp-css-borderColor-CoralFont"",{""operator"":"":"",""operands"":[{""operator"":""=="",""operands"":[""[$ContactType]"",""EFDC Staff""]},""sp-css-backgroundColor-BgBrown sp-css-borderColor-WhiteFont"",{""operator"":"":"",""operands"":[{""operator"":""=="",""operands"":[""[$ContactType]"",""Peer-to-Peer Partner""]},""sp-css-backgroundColor-BgLightPurple sp-css-borderColor-LightPurpleFont"",{""operator"":"":"",""operands"":[{""operator"":""=="",""operands"":[""[$ContactType]"",""U-M Communication Contact""]},""sp-css-backgroundColor-BgGold sp-css-borderColor-GoldFont"",{""operator"":"":"",""operands"":[{""operator"":""=="",""operands"":[""[$ContactType]"",""U-M External Partner""]},""sp-css-backgroundColor-BgGold sp-css-borderColor-GoldFont"",{""operator"":"":"",""operands"":[{""operator"":""=="",""operands"":[""[$ContactType]"",""U-M Partner""]},""sp-css-backgroundColor-BgGold sp-css-borderColor-GoldFont"",{""operator"":"":"",""operands"":[{""operator"":""=="",""operands"":[""[$ContactType]"",""U-M Staff""]},""sp-css-backgroundColor-BgGold sp-css-borderColor-GoldFont"",{""operator"":"":"",""operands"":[{""operator"":""=="",""operands"":[""[$ContactType]"",""Undergraduate Student""]},""sp-css-backgroundColor-BgSage sp-css-borderColor-SageFont"",{""operator"":"":"",""operands"":[{""operator"":""=="",""operands"":[""[$ContactType]"",""Vendor""]},""sp-css-backgroundColor-BgLilac"",{""operator"":"":"",""operands"":[{""operator"":""=="",""operands"":[""[$ContactType]"",""Other""]},""sp-css-backgroundColor-BgRed sp-css-borderColor-WhiteFont"",""sp-css-backgroundColor-BgDarkRed sp-field-borderAllSemibold sp-field-borderAllSolid sp-css-borderColor-WhiteFont""]}]}]}]}]}]}]}]}]}]}]}]}]}]}},""children"":[{""elmType"":""span"",""style"":{""line-height"":""16px"",""height"":""14px"",""display"":{""operator"":"":"",""operands"":[{""operator"":""=="",""operands"":[""[$ContactType]"",""Member""]},""inherit"",{""operator"":"":"",""operands"":[{""operator"":""=="",""operands"":[""[$ContactType]"",""Prospective Member""]},""none"",{""operator"":"":"",""operands"":[{""operator"":""=="",""operands"":[""[$ContactType]"",""Alumni""]},""none"",{""operator"":"":"",""operands"":[{""operator"":""=="",""operands"":[""[$ContactType]"",""Community Partner""]},""none"",{""operator"":"":"",""operands"":[{""operator"":""=="",""operands"":[""[$ContactType]"",""EFDC Leadership""]},""none"",{""operator"":"":"",""operands"":[{""operator"":""=="",""operands"":[""[$ContactType]"",""EFDC Staff""]},""none"",{""operator"":"":"",""operands"":[{""operator"":""=="",""operands"":[""[$ContactType]"",""Peer-to-Peer Partner""]},""none"",{""operator"":"":"",""operands"":[{""operator"":""=="",""operands"":[""[$ContactType]"",""U-M Communication Contact""]},""none"",{""operator"":"":"",""operands"":[{""operator"":""=="",""operands"":[""[$ContactType]"",""U-M External Partner""]},""none"",{""operator"":"":"",""operands"":[{""operator"":""=="",""operands"":[""[$ContactType]"",""U-M Partner""]},""none"",{""operator"":"":"",""operands"":[{""operator"":""=="",""operands"":[""[$ContactType]"",""U-M Staff""]},""none"",{""operator"":"":"",""operands"":[{""operator"":""=="",""operands"":[""[$ContactType]"",""Undergraduate Student""]},""none"",{""operator"":"":"",""operands"":[{""operator"":""=="",""operands"":[""[$ContactType]"",""Vendor""]},""none"",{""operator"":"":"",""operands"":[{""operator"":""=="",""operands"":[""[$ContactType]"",""Other""]},""inherit"",""inherit""]}]}]}]}]}]}]}]}]}]}]}]}]}]}},""attributes"":{""iconName"":{""operator"":"":"",""operands"":[{""operator"":""=="",""operands"":[""[$ContactType]"",""Member""]},""Like"",{""operator"":"":"",""operands"":[{""operator"":""=="",""operands"":[""[$ContactType]"",""Prospective Member""]},"""",{""operator"":"":"",""operands"":[{""operator"":""=="",""operands"":[""[$ContactType]"",""Alumni""]},"""",{""operator"":"":"",""operands"":[{""operator"":""=="",""operands"":[""[$ContactType]"",""Community Partner""]},"""",{""operator"":"":"",""operands"":[{""operator"":""=="",""operands"":[""[$ContactType]"",""EFDC Leadership""]},"""",{""operator"":"":"",""operands"":[{""operator"":""=="",""operands"":[""[$ContactType]"",""EFDC Staff""]},"""",{""operator"":"":"",""operands"":[{""operator"":""=="",""operands"":[""[$ContactType]"",""Peer-to-Peer Partner""]},"""",{""operator"":"":"",""operands"":[{""operator"":""=="",""operands"":[""[$ContactType]"",""U-M Communication Contact""]},"""",{""operator"":"":"",""operands"":[{""operator"":""=="",""operands"":[""[$ContactType]"",""U-M External Partner""]},"""",{""operator"":"":"",""operands"":[{""operator"":""=="",""operands"":[""[$ContactType]"",""U-M Partner""]},"""",{""operator"":"":"",""operands"":[{""operator"":""=="",""operands"":[""[$ContactType]"",""U-M Staff""]},"""",{""operator"":"":"",""operands"":[{""operator"":""=="",""operands"":[""[$ContactType]"",""Undergraduate Student""]},"""",{""operator"":"":"",""operands"":[{""operator"":""=="",""operands"":[""[$ContactType]"",""Vendor""]},"""",{""operator"":"":"",""operands"":[{""operator"":""=="",""operands"":[""[$ContactType]"",""Other""]},""Error"",""ErrorBadge""]}]}]}]}]}]}]}]}]}]}]}]}]}]},""class"":{""operator"":"":"",""operands"":[{""operator"":""=="",""operands"":[""[$ContactType]"",""Member""]},""sp-css-color-CornflowerBlueFont"",{""operator"":"":"",""operands"":[{""operator"":""=="",""operands"":[""[$ContactType]"",""Prospective Member""]},""sp-css-color-CyanFont"",{""operator"":"":"",""operands"":[{""operator"":""=="",""operands"":[""[$ContactType]"",""Alumni""]},""sp-css-color-LightGrayFont"",{""operator"":"":"",""operands"":[{""operator"":""=="",""operands"":[""[$ContactType]"",""Community Partner""]},""sp-css-color-LilacFont"",{""operator"":"":"",""operands"":[{""operator"":""=="",""operands"":[""[$ContactType]"",""EFDC Leadership""]},""sp-css-color-CoralFont"",{""operator"":"":"",""operands"":[{""operator"":""=="",""operands"":[""[$ContactType]"",""EFDC Staff""]},""sp-css-color-WhiteFont"",{""operator"":"":"",""operands"":[{""operator"":""=="",""operands"":[""[$ContactType]"",""Peer-to-Peer Partner""]},""sp-css-color-LightPurpleFont"",{""operator"":"":"",""operands"":[{""operator"":""=="",""operands"":[""[$ContactType]"",""U-M Communication Contact""]},""sp-css-color-GoldFont"",{""operator"":"":"",""operands"":[{""operator"":""=="",""operands"":[""[$ContactType]"",""U-M External Partner""]},""sp-css-color-GoldFont"",{""operator"":"":"",""operands"":[{""operator"":""=="",""operands"":[""[$ContactType]"",""U-M Partner""]},""sp-css-color-GoldFont"",{""operator"":"":"",""operands"":[{""operator"":""=="",""operands"":[""[$ContactType]"",""U-M Staff""]},""sp-css-color-GoldFont"",{""operator"":"":"",""operands"":[{""operator"":""=="",""operands"":[""[$ContactType]"",""Undergraduate Student""]},""sp-css-color-SageFont"",{""operator"":"":"",""operands"":[{""operator"":""=="",""operands"":[""[$ContactType]"",""Vendor""]},"""",{""operator"":"":"",""operands"":[{""operator"":""=="",""operands"":[""[$ContactType]"",""Other""]},""sp-css-color-WhiteFont"",""sp-css-color-WhiteFont""]}]}]}]}]}]}]}]}]}]}]}]}]}]}}},{""elmType"":""span"",""style"":{""overflow"":""hidden"",""text-overflow"":""ellipsis"",""padding"":""0 3px""},""txtContent"":""[$ContactType]"",""attributes"":{""class"":{""operator"":"":"",""operands"":[{""operator"":""=="",""operands"":[""[$ContactType]"",""Member""]},""sp-css-color-CornflowerBlueFont"",{""operator"":"":"",""operands"":[{""operator"":""=="",""operands"":[""[$ContactType]"",""Prospective Member""]},""sp-css-color-CyanFont"",{""operator"":"":"",""operands"":[{""operator"":""=="",""operands"":[""[$ContactType]"",""Alumni""]},""sp-css-color-LightGrayFont sp-field-italic"",{""operator"":"":"",""operands"":[{""operator"":""=="",""operands"":[""[$ContactType]"",""Community Partner""]},""sp-css-color-LilacFont"",{""operator"":"":"",""operands"":[{""operator"":""=="",""operands"":[""[$ContactType]"",""EFDC Leadership""]},""sp-css-color-CoralFont"",{""operator"":"":"",""operands"":[{""operator"":""=="",""operands"":[""[$ContactType]"",""EFDC Staff""]},""sp-css-color-WhiteFont"",{""operator"":"":"",""operands"":[{""operator"":""=="",""operands"":[""[$ContactType]"",""Peer-to-Peer Partner""]},""sp-css-color-LightPurpleFont"",{""operator"":"":"",""operands"":[{""operator"":""=="",""operands"":[""[$ContactType]"",""U-M Communication Contact""]},""sp-css-color-GoldFont"",{""operator"":"":"",""operands"":[{""operator"":""=="",""operands"":[""[$ContactType]"",""U-M External Partner""]},""sp-css-color-PurpleText sp-field-italic"",{""operator"":"":"",""operands"":[{""operator"":""=="",""operands"":[""[$ContactType]"",""U-M Partner""]},""sp-css-color-GoldFont"",{""operator"":"":"",""operands"":[{""operator"":""=="",""operands"":[""[$ContactType]"",""U-M Staff""]},""sp-css-color-GoldFont"",{""operator"":"":"",""operands"":[{""operator"":""=="",""operands"":[""[$ContactType]"",""Undergraduate Student""]},""sp-css-color-SageFont"",{""operator"":"":"",""operands"":[{""operator"":""=="",""operands"":[""[$ContactType]"",""Vendor""]},""sp-css-color-LilacFont"",{""operator"":"":"",""operands"":[{""operator"":""=="",""operands"":[""[$ContactType]"",""Other""]},""sp-css-color-WhiteFont sp-field-bold"",""sp-field-fontSizeMedium sp-css-color-WhiteFont sp-field-bold""]}]}]}]}]}]}]}]}]}]}]}]}]}]}}}]}],""templateId"":""BgColorChoicePill""}"
"c39b8a9b-6621-431d-a91c-9be4a3f74edf","Teams Account","TeamsAccount","False","User","The MS Teams account for this person, if applicable. Only accounts on the same environment as TrackMaster can be used (e.g. Michigan Medicine).",,,"False","False",,,,"{""$schema"":""https://developer.microsoft.com/json-schemas/sp/v2/column-formatting.schema.json"",""elmType"":""div"",""defaultHoverField"":""@currentField"",""style"":{""padding"":""0 2px"",""text-overflow"":""ellipsis"",""display"":""=if(@currentField,'flex','none')"",""clear"":""both"",""max-height"":""40px""},""children"":[{""elmType"":""div"",""style"":{""padding-left"":""8px""},""children"":[{""elmType"":""span"",""attributes"":{""iconName"":""CheckMark"",""class"":""ms-fontSize-16 ms-fontWeight-regular ms-fontColor-themePrimary""}}]}]}"
"eb1b2406-d5a3-468b-a655-cc1e29cb9d70","Honorific","Honorific","False","Choice","",,,"False","False",,,,"{""elmType"":""div"",""style"":{""flex-wrap"":""wrap"",""display"":""flex""},""children"":[{""elmType"":""div"",""style"":{""box-sizing"":""border-box"",""padding"":""4px 8px 5px 8px"",""overflow"":""hidden"",""text-overflow"":""ellipsis"",""display"":""flex"",""border-radius"":""16px"",""height"":""24px"",""align-items"":""center"",""white-space"":""nowrap"",""margin"":""4px 4px 4px 4px""},""attributes"":{""class"":{""operator"":"":"",""operands"":[{""operator"":""=="",""operands"":[""@currentField"",""Mr.""]},""sp-css-backgroundColor-BgCornflowerBlue sp-field-fontSizeSmall sp-css-color-CornflowerBlueFont"",{""operator"":"":"",""operands"":[{""operator"":""=="",""operands"":[""@currentField"",""Ms.""]},""sp-css-backgroundColor-BgMintGreen sp-field-fontSizeSmall sp-css-color-MintGreenFont"",{""operator"":"":"",""operands"":[{""operator"":""=="",""operands"":[""@currentField"",""Mrs.""]},""sp-css-backgroundColor-BgGold sp-field-fontSizeSmall sp-css-color-GoldFont"",{""operator"":"":"",""operands"":[{""operator"":""=="",""operands"":[""@currentField"",""""]},"""",{""operator"":"":"",""operands"":[{""operator"":""=="",""operands"":[""@currentField"",""Mx.""]},""sp-css-backgroundColor-BgCoral sp-field-fontSizeSmall sp-css-color-CoralFont"",{""operator"":"":"",""operands"":[{""operator"":""=="",""operands"":[""@currentField"",""Dr.""]},""sp-css-backgroundColor-BgDustRose sp-field-fontSizeSmall sp-css-color-DustRoseFont"",{""operator"":"":"",""operands"":[{""operator"":""=="",""operands"":[""@currentField"",""Sir""]},""sp-css-backgroundColor-BgCyan sp-field-fontSizeSmall sp-css-color-CyanFont"",{""operator"":"":"",""operands"":[{""operator"":""=="",""operands"":[""@currentField"",""Rev. Dr.""]},""sp-css-backgroundColor-BgPeach sp-field-fontSizeSmall sp-css-color-PeachFont"",{""operator"":"":"",""operands"":[{""operator"":""=="",""operands"":[""@currentField"",""Ing.""]},""sp-css-backgroundColor-BgSage sp-field-fontSizeSmall sp-css-color-SageFont"",{""operator"":"":"",""operands"":[{""operator"":""=="",""operands"":[""@currentField"",""Eur. Ing.""]},""sp-css-backgroundColor-BgLightPurple sp-field-fontSizeSmall sp-css-color-LightPurpleFont"",{""operator"":"":"",""operands"":[{""operator"":""=="",""operands"":[""@currentField"",""Professor""]},""sp-css-backgroundColor-BgViolet sp-field-fontSizeSmall sp-css-color-VioletFont"",{""operator"":"":"",""operands"":[{""operator"":""=="",""operands"":[""@currentField"",""Father""]},""sp-css-backgroundColor-BgLightBlue sp-field-fontSizeSmall sp-css-color-LightBlueFont"",{""operator"":"":"",""operands"":[{""operator"":""=="",""operands"":[""@currentField"",""Mother""]},""sp-css-backgroundColor-BgMauve sp-field-fontSizeSmall sp-css-color-MauveFont"",{""operator"":"":"",""operands"":[{""operator"":""=="",""operands"":[""@currentField"",""Sis.""]},""sp-css-backgroundColor-BgLilac sp-field-fontSizeSmall sp-css-color-LilacFont"",{""operator"":"":"",""operands"":[{""operator"":""=="",""operands"":[""@currentField"",""Fr.""]},""sp-css-backgroundColor-BgLightGray sp-field-fontSizeSmall sp-css-color-LightGrayFont"",{""operator"":"":"",""operands"":[{""operator"":""=="",""operands"":[""@currentField"",""Pr.""]},""sp-css-backgroundColor-BgBlue sp-field-fontSizeSmall sp-css-color-WhiteFont"",{""operator"":"":"",""operands"":[{""operator"":""=="",""operands"":[""@currentField"",""Br.""]},""sp-css-backgroundColor-BgGreen sp-field-fontSizeSmall sp-css-color-WhiteFont"",{""operator"":"":"",""operands"":[{""operator"":""=="",""operands"":[""@currentField"",""Sr.""]},""sp-css-backgroundColor-BgBrown sp-field-fontSizeSmall sp-css-color-WhiteFont"",{""operator"":"":"",""operands"":[{""operator"":""=="",""operands"":[""@currentField"",""Elder""]},""sp-css-backgroundColor-BgDarkRed sp-field-fontSizeSmall sp-css-color-WhiteFont"",{""operator"":"":"",""operands"":[{""operator"":""=="",""operands"":[""@currentField"",""Rabbi""]},""sp-css-backgroundColor-BgRed sp-field-fontSizeSmall sp-css-color-WhiteFont"",{""operator"":"":"",""operands"":[{""operator"":""=="",""operands"":[""@currentField"",""Choice 20""]},""sp-css-backgroundColor-BgTeal sp-field-fontSizeSmall sp-css-color-WhiteFont"",{""operator"":"":"",""operands"":[{""operator"":""=="",""operands"":[""@currentField"",""Shaykh""]},""sp-css-backgroundColor-BgOrange sp-field-fontSizeSmall sp-css-color-WhiteFont"",{""operator"":"":"",""operands"":[{""operator"":""=="",""operands"":[""@currentField"",""Emi.""]},""sp-css-backgroundColor-BgDarkGreen sp-field-fontSizeSmall sp-css-color-WhiteFont"",{""operator"":"":"",""operands"":[{""operator"":""=="",""operands"":[""@currentField"",""Roshi""]},""sp-css-backgroundColor-BgLavender sp-field-fontSizeSmall sp-css-color-WhiteFont"",{""operator"":"":"",""operands"":[{""operator"":""=="",""operands"":[""@currentField"",""Sensei""]},""sp-css-backgroundColor-BgDarkPurple sp-field-fontSizeSmall sp-css-color-WhiteFont"",{""operator"":"":"",""operands"":[{""operator"":""=="",""operands"":[""@currentField"",""Ven.""]},""sp-css-backgroundColor-BgDarkBlue sp-field-fontSizeSmall sp-css-color-WhiteFont"",""sp-field-borderAllRegular sp-field-borderAllSolid sp-css-borderColor-neutralSecondary""]}]}]}]}]}]}]}]}]}]}]}]}]}]}]}]}]}]}]}]}]}]}]}]}]}]}},""txtContent"":""@currentField""}],""templateId"":""BgColorChoicePill""}"
"4fd28644-f12e-4944-801b-25dc804d1624","First Name","FirstName","False","Text","First name(s) (surname). If not entered manually, the system will extract this value from the Full Name field or from MCommunity.",,"255","False","False",,,,
"80c7b950-00fe-4990-9f42-8b1be73fe449","Last Name","LastName","False","Text","Last name(s) (family or given name). If not entered manually, the system will extract this value from the Full Name field or from MCommunity.",,"255","False","False",,,,
"a4212924-fc42-489f-be35-0a4ea7d4ba4c","Credentials","Credentials","False","Text","Professional credentials (e.g. M.D., Ph.D.), separated by commas.",,"60","False","False",,,,
"c11b9f25-3109-4c74-ab02-167ad58ba51b","Job Title","JobTitle","False","Text","The person's current job title. For internal contacts, this is set automatically from MCommunity whenever possible.",,"255","False","False",,,,
"1fd92997-0200-401a-b580-a67823416312","Department (MCommunity)","Department","False","Choice","Primary department. For internal contacts, this value is updated automatically from MCommunity.",,,"False","False",,,,
