"ID","ColumnDisplayName","ColumnInternalName","Required","ColumnTye","Description","Format","MaxLength","EnforceUniqueValues","Indexed","ValidationFormula","DefaultValue","DefaultFormula","CustomFormatter"
"fa564e0f-0c70-4ab9-b863-0177e6ddd247","Title","Title","False","Text","",,"255","False","False",,,,
"f68ae210-5da4-4449-bdcf-9fd2ddaef574","Program Cycle","ProgramCycle","True","Lookup","The specific program and cycle being tracked for this applicant or recipient.",,,"False","False",,,,"{""$schema"":""https://developer.microsoft.com/json-schemas/sp/v2/column-formatting.schema.json"",""elmType"":""span"",""style"":{""text-decoration"":""none"",""min-width"":""340px""},""customRowAction"":{""action"":""defaultClick""},""children"":[{""elmType"":""span"",""txtContent"":""=if(@currentField.lookupValue=='', ' - ', @currentField.lookupValue)"",""style"":{""text-align"":""left"",""cursor"":""pointer"",""text-decoration"":""none"",""min-width"":""140px"",""font-weight"":""600"",""width"":""100%""}}]}"
"1ba72fe2-c693-4a75-adc2-f2c96cb523a3","Participant","Participant","True","Lookup","The applicant, participant or award recipient. This person must already exist in the People list. For Peer-to-Peer and other community programs, enter the name of the principal or president. For all others, it should be the primary PI.",,,"False","False",,,,"{""$schema"":""https://developer.microsoft.com/json-schemas/sp/v2/column-formatting.schema.json"",""elmType"":""div"",""customRowAction"":{""action"":""defaultClick""},""style"":{""padding"":""0 2px"",""overflow"":""hidden"",""text-overflow"":""ellipsis"",""cursor"":""pointer""},""children"":[{""elmType"":""span"",""style"":{""padding"":""0 2px""},""txtContent"":""[$Participant.lookupValue]""}]}"
"e5988f9e-a202-46ad-a60a-a596a6f33eab","Primary Contact","PrimaryContact","False","Lookup","The primary or proxy contact for this participant.",,,"False","False",,,,
"5a89d17e-286a-4c30-a460-b124003ee2f2","Status","Status","True","Choice","The status of this participant's application in the program cycle.",,,"False","False",,"Expressed Interest",,"{""$schema"":""https://developer.microsoft.com/json-schemas/sp/v2/column-formatting.schema.json"",""elmType"":""div"",""style"":{""flex-wrap"":""wrap"",""display"":""flex""},""customRowAction"":{""action"":""embed"",""actionInput"":{""src"":""=@currentWeb + '/Lists/ProgramParticipantTracking/zMilestonesPreview.aspx?env=WebView&FilterField1=ID&FilterValue1=' + [$ID] + '&FilterType1=Counter'"",""height"":""840"",""width"":""920""}},""children"":[{""elmType"":""div"",""style"":{""box-sizing"":""border-box"",""padding"":""4px 8px 5px 8px"",""overflow"":""hidden"",""text-overflow"":""ellipsis"",""display"":""flex"",""border-radius"":""16px"",""height"":""24px"",""align-items"":""center"",""white-space"":""nowrap"",""margin"":""4px 4px 4px 4px""},""attributes"":{""class"":{""operator"":"":"",""operands"":[{""operator"":""=="",""operands"":[""[$Status]"",""Expressed Interest""]},""sp-css-backgroundColor-BgCyan sp-css-borderColor-CyanFont sp-css-color-CyanFont sp-css-color-CyanFont"",{""operator"":"":"",""operands"":[{""operator"":""=="",""operands"":[""[$Status]"",""Pre-Application / LOI Submitted""]},""sp-css-backgroundColor-BgCyan sp-css-borderColor-CyanFont sp-css-color-CyanFont sp-css-color-CyanFont"",{""operator"":"":"",""operands"":[{""operator"":""=="",""operands"":[""[$Status]"",""Application Submitted""]},""sp-css-backgroundColor-BgBlue sp-css-borderColor-WhiteFont sp-css-color-WhiteFont sp-css-color-WhiteFont"",{""operator"":"":"",""operands"":[{""operator"":""=="",""operands"":[""[$Status]"",""Reviewing Application""]},""sp-css-backgroundColor-BgLavender sp-css-borderColor-WhiteFont sp-css-color-WhiteFont sp-css-color-WhiteFont"",{""operator"":"":"",""operands"":[{""operator"":""=="",""operands"":[""[$Status]"",""""]},"""",{""operator"":"":"",""operands"":[{""operator"":""=="",""operands"":[""[$Status]"",""Approval Activities in Progress""]},""sp-css-backgroundColor-BgMintGreen sp-css-borderColor-MintGreenFont sp-css-color-MintGreenFont sp-css-color-MintGreenFont"",{""operator"":"":"",""operands"":[{""operator"":""=="",""operands"":[""[$Status]"",""Rejection Activities in Progress""]},""sp-css-backgroundColor-BgDustRose sp-css-borderColor-DustRoseFont sp-css-color-DustRoseFont sp-css-color-DustRoseFont"",{""operator"":"":"",""operands"":[{""operator"":""=="",""operands"":[""[$Status]"",""Project Activities in Progress""]},""sp-css-backgroundColor-BgGold sp-css-borderColor-GoldFont sp-css-color-GoldFont sp-css-color-GoldFont"",{""operator"":"":"",""operands"":[{""operator"":""=="",""operands"":[""[$Status]"",""Closure Activities in Progress""]},""sp-css-backgroundColor-BgGold sp-css-borderColor-GoldFont sp-css-color-GoldFont sp-css-color-GoldFont"",{""operator"":"":"",""operands"":[{""operator"":""=="",""operands"":[""[$Status]"",""Completed - Final Survey Pending""]},""sp-css-backgroundColor-BgLightGray sp-css-color-LightGrayFont sp-css-color-LightGrayFont"",{""operator"":"":"",""operands"":[{""operator"":""=="",""operands"":[""[$Status]"",""Closed""]},""sp-css-backgroundColor-BgGray sp-css-borderColor-WhiteFont sp-css-color-WhiteFont sp-css-color-WhiteFont"",""sp-field-borderAllRegular sp-field-borderAllSolid sp-css-borderColor-neutralSecondary""]}]}]}]}]}]}]}]}]}]}]}},""children"":[{""elmType"":""span"",""style"":{""overflow"":""hidden"",""text-overflow"":""ellipsis"",""padding"":""0 3px""},""txtContent"":""[$Status]"",""attributes"":{""class"":{""operator"":"":"",""operands"":[{""operator"":""=="",""operands"":[""[$Status]"",""Expressed Interest""]},""sp-css-color-CyanFont"",{""operator"":"":"",""operands"":[{""operator"":""=="",""operands"":[""[$Status]"",""Pre-Application / LOI Submitted""]},""sp-css-color-CyanFont"",{""operator"":"":"",""operands"":[{""operator"":""=="",""operands"":[""[$Status]"",""Application Submitted""]},""sp-css-color-WhiteFont"",{""operator"":"":"",""operands"":[{""operator"":""=="",""operands"":[""[$Status]"",""Reviewing Application""]},""sp-css-color-WhiteFont"",{""operator"":"":"",""operands"":[{""operator"":""=="",""operands"":[""[$Status]"",""""]},"""",{""operator"":"":"",""operands"":[{""operator"":""=="",""operands"":[""[$Status]"",""Approval Activities in Progress""]},""sp-css-color-MintGreenFont"",{""operator"":"":"",""operands"":[{""operator"":""=="",""operands"":[""[$Status]"",""Rejection Activities in Progress""]},""sp-css-color-DustRoseFont"",{""operator"":"":"",""operands"":[{""operator"":""=="",""operands"":[""[$Status]"",""Project Activities in Progress""]},""sp-css-color-GoldFont"",{""operator"":"":"",""operands"":[{""operator"":""=="",""operands"":[""[$Status]"",""Closure Activities in Progress""]},""sp-css-color-GoldFont"",{""operator"":"":"",""operands"":[{""operator"":""=="",""operands"":[""[$Status]"",""Completed - Final Survey Pending""]},""sp-css-color-LightGrayFont"",{""operator"":"":"",""operands"":[{""operator"":""=="",""operands"":[""[$Status]"",""Closed""]},""sp-css-color-WhiteFont"",""""]}]}]}]}]}]}]}]}]}]}]}}}]}]}"
"3cc3bebf-c002-4a4f-a9c8-ba043372fded","Assignee","Assignee","False","User","The team member responsible for tracking and all follow ups for this applicant, during this program cycle. This team member receives notifications for follow up.",,,"False","False",,,,"{""$schema"":""https://developer.microsoft.com/json-schemas/sp/v2/column-formatting.schema.json"",""elmType"":""div"",""inlineEditField"":""@currentField"",""style"":{""display"":""flex"",""flex-wrap"":""wrap""},""children"":[{""elmType"":""div"",""forEach"":""person in @currentField"",""style"":{""display"":""=if(@currentField,'flex','none')"",""flex-direction"":""row"",""align-items"":""center"",""white-space"":""nowrap"",""border-radius"":""13px"",""margin"":""4px"",""margin-left"":""10px""},""attributes"":{""class"":""ms-bgColor-neutralLight""},""defaultHoverField"":""[$person]"",""children"":[{""elmType"":""img"",""style"":{""width"":""28px"",""height"":""28px"",""border-radius"":""50%""},""attributes"":{""src"":""=getUserImage([$person.email], 'small')""}},{""elmType"":""div"",""txtContent"":""[$person.title]"",""style"":{""padding-left"":""6px"",""padding-right"":""10px""},""attributes"":{""class"":""ms-fontColor-neutralPrimary""}}]}]}"
"78a44be5-4551-4b10-86f6-99fbefb65b07","Publications","Publications","False","Note","",,,"False","False",,,,
"67d4c84d-b78f-42ef-8fbd-c1fcf38c364a","External Grants","ExternalGrants","False","Note","",,,"False","False",,,,
"b9dc68a1-49e7-43aa-975e-f236bf2b6a94","Research Areas","ResearchAreas","False","TaxonomyFieldTypeMulti","The research area focus for this event, from the center's pre-defined taxonomy.",,,"False","False",,"",,
"ce4bb8e5-7404-4cf2-a06d-b84fda352348","Research Methodologies and Applications","ResearchMethodologies","False","TaxonomyFieldTypeMulti","The research methodology and applications focus for this event, from the center's pre-defined taxonomy.",,,"False","False",,"",,
