"ID","ColumnDisplayName","ColumnInternalName","Required","ColumnTye","Description","Format","MaxLength","EnforceUniqueValues","Indexed","ValidationFormula","DefaultValue","DefaultFormula","CustomFormatter"
"fa564e0f-0c70-4ab9-b863-0177e6ddd247","Referral Purpose","Title","True","Text","Enter a one-sentence summary of the referral.",,"255","False","False",,"Referral for...",,
"031f1377-cc28-4313-b682-8e07735e067c","Client","Client","True","Lookup","The person who is being referred from one team/core to another.",,,"False","False",,,,
"b371e6ff-dac1-49d6-9f90-65f2efe907d8","Referred By","ReferredByTeam","False","Lookup","The team who made the referral.",,,"False","False",,,,
"bd131d55-4bdf-47ef-b9d6-15c6fddbedac","Referred To","ReferredToTeam","True","Lookup","The team to whom the referral was made.",,,"False","False",,,,
"a9c9b0cd-a9c4-4ad1-ac2a-a4fa84d56b6f","Assignee","Assignee","False","User","The person in the referred-to team who has been assigned to follow up on this referral.",,,"False","False",,,,"{""$schema"":""https://developer.microsoft.com/json-schemas/sp/v2/column-formatting.schema.json"",""elmType"":""div"",""inlineEditField"":""@currentField"",""style"":{""display"":""flex"",""flex-wrap"":""wrap""},""children"":[{""elmType"":""div"",""forEach"":""person in @currentField"",""style"":{""display"":""=if(@currentField,'flex','none')"",""flex-direction"":""row"",""align-items"":""center"",""white-space"":""nowrap"",""border-radius"":""13px"",""margin"":""4px"",""margin-left"":""10px""},""attributes"":{""class"":""ms-bgColor-neutralLight""},""defaultHoverField"":""[$person]"",""children"":[{""elmType"":""img"",""style"":{""width"":""28px"",""height"":""28px"",""border-radius"":""50%""},""attributes"":{""src"":""=getUserImage([$person.email], 'small')""}},{""elmType"":""div"",""txtContent"":""[$person.title]"",""style"":{""padding-left"":""6px"",""padding-right"":""10px""},""attributes"":{""class"":""ms-fontColor-neutralPrimary""}}]}]}"
"540e7eec-b178-4509-a76d-90f64e6beb60","Referral Status","ReferralStatus","True","Choice","The current status of this referral.",,,"False","False",,"Open",,
"752319fe-1e36-4c97-882c-c7f0207f70e9","Follow Up Date","FollowUpDate","False","DateTime","If a follow up is required, this date is a reminder of when to follow up. An email reminder will be sent to the corresponding team on this date.",,,"False","False",,,,"{""$schema"":""https://developer.microsoft.com/json-schemas/sp/v2/column-formatting.schema.json"",""elmType"":""div"",""style"":{""display"":""=if(@currentField, 'flex', 'none')"",""flex-direction"":""column"",""align-items"":""flex-start"",""justify-content"":""flex-start"",""padding"":""5px"",""padding-bottom"":""0px"",""font-size"":""12px"",""color"":""#323130""},""children"":[{""elmType"":""div"",""style"":{""display"":""flex"",""align-items"":""center"",""gap"":""4px""},""attributes"":{""title"":""=if(@currentField=='', '(not set)', toDateString(@currentField))""},""children"":[{""elmType"":""span"",""txtContent"":""=if(Date(toDateString(@currentField))==Date(toDateString(@now)), 'DUE TODAY', if(floor((Date(toDateString(@currentField)) + 46800000) / 86400000) > floor((Date(toDateString(@now)) + 46800000) / 86400000), toString(floor((Date(toDateString(@currentField)) + 46800000) / 86400000 - floor((Date(toDateString(@now)) + 46800000) / 86400000))) + 'd', '-' + toString(floor((Date(toDateString(@now)) + 46800000) / 86400000 - (Date(toDateString(@currentField)) + 46800000) / 86400000)) + 'd'))"",""style"":{""font-size"":""10px"",""padding-right"":""1px""},""attributes"":{""class"":""=if(Date(toDateString(@currentField))==Date(toDateString(@now)), 'ms-fontColor-orangeLight', if(Date(toDateString(@currentField))>Date(toDateString(@now)), 'ms-fontColor-themeSecondary', 'ms-fontColor-neutralTertiary'))""}},{""elmType"":""span"",""attributes"":{""iconName"":""=if(Date(toDateString(@currentField))==Date(toDateString(@now)), 'FavoriteStarFill', if(Date(toDateString(@currentField))>Date(toDateString(@now)), 'SortUp', 'SortDown'))"",""class"":""=if(Date(toDateString(@currentField))==Date(toDateString(@now)), 'ms-fontColor-orangeLight', if(Date(toDateString(@currentField))>Date(toDateString(@now)), 'ms-fontColor-themeSecondary', 'ms-fontColor-neutralTertiary'))""},""style"":{""font-size"":""10px""}}]},{""elmType"":""div"",""inlineEditField"":""@currentField"",""style"":{""display"":""flex"",""align-items"":""center"",""gap"":""4px"",""margin-top"":""2px"",""text-decoration"":""=if(Date(toDateString(@currentField))>=Date(toDateString(@now)), 'none', 'line-through')""},""attributes"":{""class"":""=if(Date(toDateString(@currentField))==Date(toDateString(@now)), 'ms-fontColor-red', if(Date(toDateString(@currentField))>Date(toDateString(@now)), 'ms-fontColor-neutralPrimary', 'ms-fontColor-neutralTertiary'))"",""title"":""=if(@currentField=='', '(not set)', toDateString(@currentField)) + ' (click to edit)'""},""children"":[{""elmType"":""span"",""attributes"":{""iconName"":""=if(Date(toDateString(@currentField))==Date(toDateString(@now)), 'GotoToday', 'Calendar')""},""style"":{""font-size"":""12px"",""padding-right"":""5px""}},{""elmType"":""span"",""txtContent"":""=@currentField.displayValue"",""style"":{""font-weight"":""=if(Date(toDateString(@currentField))>=Date(toDateString(@now)), '500', '400')""}}]}]}"
"23f27201-bee3-471e-b2e7-b64fd8b7ca38","Tags","TaxKeyword","False","TaxonomyFieldTypeMulti","Custom tags and keywords for searching.",,,"False","False",,,,"{
  ""$schema"": ""https://developer.microsoft.com/json-schemas/sp/v2/column-formatting.schema.json"",
  ""elmType"": ""div"",
  ""style"": {
    ""display"": ""flex"",
    ""flex-wrap"": ""wrap"",
    ""width"": ""100%""
  },
  ""children"": [
    {
      ""elmType"": ""div"",
      ""style"": {
        ""margin"": ""4px"",
        ""padding"": ""4px 8px 4px 8px"",
        ""border-radius"": ""10px""
      },
      ""attributes"": {
        ""class"": ""ms-bgColor-themeLighterAlt ms-bgColor-themeDarkAlt--hover ms-fontColor-themeLighterAlt--hover""
      },
      ""forEach"": ""tag in @currentField"",
      ""children"": [
        {
          ""elmType"": ""div"",
          ""style"": {
            ""vertical-align"": ""middle"",
            ""white-space"": ""nowrap"",
            ""width"": ""auto""
          },
          ""attributes"": {
            ""class"": ""ms-fontColor-themeDarker ms-fontColor-themeLighterAlt--hover ms-font-xs""
          },
		  ""children"": [
		  {
			  ""elmType"": ""a"",
			  ""attributes"": {
				""href"": ""=@currentWeb + '/_layouts/15/search.aspx/siteall?q=tags:\""' + [$tag] + '\""'"",
				""target"": ""_blank"",
				""class"": ""ms-fontColor-themeDarker ms-fontColor-themeLighterAlt--hover ms-font-xs""
              },
			  ""style"":{
				  ""text-decoration"": ""none""
			  },
			  ""children"": [
				{
				  ""elmType"": ""span"",
				  ""style"": {
					""position"": ""relative"",
					""top"": ""2px"",
					""text-decoration"": ""none""
				  },
				  ""attributes"": {
					""iconName"": ""Tag""
				  }
				},
				{
				  ""elmType"": ""span"",
				  ""style"": {
					""padding-left"": ""4px""
				  },
				  ""txtContent"": ""[$tag]""
				}
			  ]
			}
			]
		}
	  ]
    }
  ]
}"
"fc12cb0d-fec8-42cd-8ffb-5e38759b93c6","Notes","Notes","False","Note","Enter a detailed description of the referral, or notes for the team who is receiving the referral.",,,"False","False",,,,
"76d13cd2-1bae-45a5-8b74-545b87b65037","Color Tag","_ColorTag","False","Text","",,"255","False","False",,,,
"3a6b296c-3f50-445c-a13f-9c679ea9dda3","Compliance Asset Id","ComplianceAssetId","False","Text","",,"255","False","False",,,,
"bc91a437-52e7-49e1-8c4e-4698904b2b6d","Referral Purpose","LinkTitleNoMenu","False","Computed","",,,"False","False",,,,
"82642ec8-ef9b-478f-acf9-31f7d45fbc31","Referral Purpose","LinkTitle","False","Computed","",,,"False","False",,,,
"fb788c1f-5a61-425c-8324-a734404dafc7","Client Job Title","Client_x003a_Job_x0020_Title","False","Lookup","The job title of the person who is being referred (automatic).",,,"False","False",,,,
"741a5fa5-d0f7-465b-b5ea-3920de9e551c","Client Email","Client_x003a_Email","False","Lookup","",,,"False","False",,,,
"ecb62945-bf1d-438b-9b9d-ce5d2fad5a4e","_SysVersion","_SysVersion","False","Number","System field used by automations to keep track of the last version that was modified automatically. This helps prevent infinite loops.",,,"False","False",,"1",,
