"ID","ColumnDisplayName","ColumnInternalName","Required","ColumnTye","Description","Format","MaxLength","EnforceUniqueValues","Indexed","ValidationFormula","DefaultValue","DefaultFormula","CustomFormatter"
"fa564e0f-0c70-4ab9-b863-0177e6ddd247","Title","Title","True","Text","Name or short description of this digital asset.",,"255","False","False",,,,
"6dcc8e3d-a9f9-4d36-8919-01e6475f1530","Asset Type","AssetType","True","Choice","The type of asset.",,,"False","False",,"Other",,"{""elmType"":""div"",""style"":{""flex-wrap"":""wrap"",""display"":""flex""},""children"":[{""elmType"":""div"",""style"":{""box-sizing"":""border-box"",""padding"":""4px 8px 5px 8px"",""overflow"":""hidden"",""text-overflow"":""ellipsis"",""display"":""flex"",""border-radius"":""16px"",""height"":""24px"",""align-items"":""center"",""white-space"":""nowrap"",""margin"":""4px 4px 4px 4px""},""attributes"":{""class"":{""operator"":"":"",""operands"":[{""operator"":""=="",""operands"":[""@currentField"",""MCommunity Group""]},""sp-css-backgroundColor-BgGold sp-field-fontSizeSmall sp-css-color-GoldFont"",{""operator"":"":"",""operands"":[{""operator"":""=="",""operands"":[""@currentField"",""Michigan Medicine Group""]},""sp-css-backgroundColor-BgMintGreen sp-field-fontSizeSmall sp-css-color-MintGreenFont"",{""operator"":"":"",""operands"":[{""operator"":""=="",""operands"":[""@currentField"",""""]},"""",{""operator"":"":"",""operands"":[{""operator"":""=="",""operands"":[""@currentField"",""Shared Network Drive""]},""sp-css-backgroundColor-BgDarkPink sp-css-borderColor-WhiteFont sp-field-fontSizeSmall sp-css-color-WhiteFont"",{""operator"":"":"",""operands"":[{""operator"":""=="",""operands"":[""@currentField"",""Shared Google Drive""]},""sp-css-backgroundColor-BgCornflowerBlue sp-css-borderColor-CornflowerBlueFont sp-field-fontSizeSmall sp-css-color-CornflowerBlueFont"",{""operator"":"":"",""operands"":[{""operator"":""=="",""operands"":[""@currentField"",""Shared Dropbox Drive""]},""sp-css-backgroundColor-BgCyan sp-field-fontSizeSmall sp-css-color-CyanFont"",{""operator"":"":"",""operands"":[{""operator"":""=="",""operands"":[""@currentField"",""System Account""]},""sp-css-backgroundColor-BgDarkRed sp-css-borderColor-WhiteFont sp-field-fontSizeSmall sp-css-color-WhiteFont"",{""operator"":"":"",""operands"":[{""operator"":""=="",""operands"":[""@currentField"",""Online Service""]},""sp-css-backgroundColor-BgSage sp-css-borderColor-SageFont sp-field-fontSizeSmall sp-css-color-SageFont"",{""operator"":"":"",""operands"":[{""operator"":""=="",""operands"":[""@currentField"",""Software Subscription""]},""sp-css-backgroundColor-BgBrown sp-css-borderColor-WhiteFont sp-field-fontSizeSmall sp-css-color-WhiteFont"",{""operator"":"":"",""operands"":[{""operator"":""=="",""operands"":[""@currentField"",""Other""]},""sp-css-backgroundColor-BgLightGray sp-css-borderColor-LightGrayFont sp-field-fontSizeSmall sp-css-color-LightGrayFont"",""sp-field-borderAllRegular sp-field-borderAllSolid sp-css-borderColor-neutralSecondary""]}]}]}]}]}]}]}]}]}]}},""children"":[{""elmType"":""span"",""style"":{""overflow"":""hidden"",""text-overflow"":""ellipsis"",""padding"":""0 3px""},""txtContent"":""@currentField"",""attributes"":{""class"":{""operator"":"":"",""operands"":[{""operator"":""=="",""operands"":[""@currentField"",""MCommunity Group""]},""sp-field-fontSizeSmall sp-css-color-GoldFont"",{""operator"":"":"",""operands"":[{""operator"":""=="",""operands"":[""@currentField"",""Michigan Medicine Group""]},""sp-field-fontSizeSmall sp-css-color-MintGreenFont"",{""operator"":"":"",""operands"":[{""operator"":""=="",""operands"":[""@currentField"",""""]},"""",{""operator"":"":"",""operands"":[{""operator"":""=="",""operands"":[""@currentField"",""Shared Network Drive""]},""sp-field-fontSizeSmall sp-css-color-WhiteFont"",{""operator"":"":"",""operands"":[{""operator"":""=="",""operands"":[""@currentField"",""Shared Google Drive""]},""sp-field-fontSizeSmall sp-css-color-CornflowerBlueFont"",{""operator"":"":"",""operands"":[{""operator"":""=="",""operands"":[""@currentField"",""Shared Dropbox Drive""]},""sp-field-fontSizeSmall sp-css-color-CyanFont"",{""operator"":"":"",""operands"":[{""operator"":""=="",""operands"":[""@currentField"",""System Account""]},""sp-field-fontSizeSmall sp-css-color-WhiteFont"",{""operator"":"":"",""operands"":[{""operator"":""=="",""operands"":[""@currentField"",""Online Service""]},""sp-field-fontSizeSmall sp-css-color-SageFont"",{""operator"":"":"",""operands"":[{""operator"":""=="",""operands"":[""@currentField"",""Software Subscription""]},""sp-field-fontSizeSmall sp-css-color-WhiteFont"",{""operator"":"":"",""operands"":[{""operator"":""=="",""operands"":[""@currentField"",""Other""]},""sp-field-fontSizeSmall sp-css-color-LightGrayFont"",""""]}]}]}]}]}]}]}]}]}]}}}]}],""rulesOrder"":[2,1,0,3,4],""templateId"":""BgColorChoicePill""}"
"14730e43-96b8-48f9-a5fd-ae87004cadd4","Asset ID","AssetID","False","Text","Asset identifier on the external system. For example, the email address for an MCommunity group.",,"255","False","False",,,,
"761363a7-bdc9-4aeb-9af1-8b3d5afbcb62","Location","Location","False","URL","The URL, email, or network path.",,,"False","False",,,,
"33509a39-c37b-4cbf-a9c4-94e55ddef490","Owner","Team","True","Lookup","The team who owns or maintains this digital asset.",,,"False","False",,,,"{""$schema"":""https://developer.microsoft.com/json-schemas/sp/v2/column-formatting.schema.json"",""elmType"":""div"",""style"":{""text-align"":""center"",""vertical-align"":""middle"",""display"":""=if(@currentField.lookupValue=='','none','inheirt')"",""text-decoration"":""none"",""cursor"":""pointer""},""customRowAction"":{""action"":""embed"",""actionInput"":{""src"":""=@currentWeb + '/Lists/Teams%20List/ContactCards.aspx?env=WebViewList&FilterField1=Title&FilterType1=Computed&FilterOp1=In&FilterValue1=' + @currentField.lookupValue"",""height"":""500"",""width"":""560""}},""children"":[{""elmType"":""div"",""style"":{""text-align"":""center"",""vertical-align"":""middle"",""text-decoration"":""none""},""attributes"":{""href"":"""",""target"":""_blank"",""title"":""=if(@currentField.lookupValue=='', ' (not set) ', 'Click to Open')"",""class"":""ms-fontSize-18""},""children"":[{""elmType"":""span"",""attributes"":{""iconName"":""=if(@currentField.lookupValue=='', 'none', 'TeamWork')""},""style"":{""text-align"":""center"",""vertical-align"":""middle"",""text-decoration"":""none"",""padding-left"":""2px"",""padding-right"":""3px"",""class"":""ms-fontSize-18""}},{""elmType"":""span"",""txtContent"":""=if(@currentField.lookupValue=='', '', @currentField.lookupValue)"",""attributes"":{""class"":""ms-fontSize-12""},""style"":{""padding-left"":""3px"",""padding-right"":""2px"",""vertical-align"":""middle"",""text-decoration"":""none""}}]}]}"
"24b1e5dc-7112-435b-90bf-eea0e45d1162","Assignee","Assignee","False","User","The person responsible for maintaining and/or renewing this asset.",,,"False","False",,,,
"cf2e0974-6bfd-40f0-9f11-9e79082ab15e","Next Renewal Date","NextRenewalDate","False","DateTime","The date when this asset or subscription must be renewed, if applicable.",,,"False","False",,,"=Today+364","{""elmType"":""div"",""style"":{""box-sizing"":""border-box"",""padding"":""0 2px"",""overflow"":""hidden"",""text-overflow"":""ellipsis""},""attributes"":{""class"":{""operator"":"":"",""operands"":[{""operator"":""=="",""operands"":[""@currentField"",""""]},"""",{""operator"":"":"",""operands"":[{""operator"":""<"",""operands"":[{""operator"":""Date()"",""operands"":[{""operator"":""toDateString()"",""operands"":[""@currentField""]}]},{""operator"":""Date()"",""operands"":[{""operator"":""toDateString()"",""operands"":[""@now""]}]}]},""sp-css-backgroundColor-BgRed sp-css-borderColor-WhiteFont sp-css-color-WhiteFont"",{""operator"":"":"",""operands"":[{""operator"":""=="",""operands"":[{""operator"":""Date()"",""operands"":[{""operator"":""toDateString()"",""operands"":[""@currentField""]}]},{""operator"":""Date()"",""operands"":[{""operator"":""toDateString()"",""operands"":[""@now""]}]}]},""sp-css-backgroundColor-BgGold sp-css-borderColor-GoldFont sp-css-color-GoldFont"",{""operator"":"":"",""operands"":[{""operator"":"">"",""operands"":[{""operator"":""Date()"",""operands"":[{""operator"":""toDateString()"",""operands"":[""@currentField""]}]},{""operator"":""Date()"",""operands"":[{""operator"":""toDateString()"",""operands"":[""@now""]}]}]},"""",""""]}]}]}]}},""children"":[{""elmType"":""span"",""style"":{""overflow"":""hidden"",""text-overflow"":""ellipsis"",""padding"":""0 3px""},""txtContent"":""@currentField.displayValue"",""attributes"":{""class"":{""operator"":"":"",""operands"":[{""operator"":""=="",""operands"":[""@currentField"",""""]},"""",{""operator"":"":"",""operands"":[{""operator"":""<"",""operands"":[{""operator"":""Date()"",""operands"":[{""operator"":""toDateString()"",""operands"":[""@currentField""]}]},{""operator"":""Date()"",""operands"":[{""operator"":""toDateString()"",""operands"":[""@now""]}]}]},""sp-css-color-WhiteFont"",{""operator"":"":"",""operands"":[{""operator"":""=="",""operands"":[{""operator"":""Date()"",""operands"":[{""operator"":""toDateString()"",""operands"":[""@currentField""]}]},{""operator"":""Date()"",""operands"":[{""operator"":""toDateString()"",""operands"":[""@now""]}]}]},""sp-css-color-GoldFont"",{""operator"":"":"",""operands"":[{""operator"":"">"",""operands"":[{""operator"":""Date()"",""operands"":[{""operator"":""toDateString()"",""operands"":[""@currentField""]}]},{""operator"":""Date()"",""operands"":[{""operator"":""toDateString()"",""operands"":[""@now""]}]}]},"""",""""]}]}]}]}}}],""templateId"":""BgColorDate""}"
"ee6ad6d2-3d80-4708-aca1-072e00bc630d","Renewal Link","RenewalLink","False","URL","Link that can be used for renewing this digital asset, if applicable.",,,"False","False",,,,
"23f27201-bee3-471e-b2e7-b64fd8b7ca38","Tags","TaxKeyword","False","TaxonomyFieldTypeMulti","Custom tags and keywords for searching.",,,"False","False",,,,"{
  ""$schema"": ""https://developer.microsoft.com/json-schemas/sp/v2/column-formatting.schema.json"",
  ""elmType"": ""div"",
  ""style"": {
    ""display"": ""flex"",
    ""flex-wrap"": ""wrap"",
    ""width"": ""100%""
  },
  ""children"": [
    {
      ""elmType"": ""div"",
      ""style"": {
        ""margin"": ""4px"",
        ""padding"": ""4px 8px 4px 8px"",
        ""border-radius"": ""10px""
      },
      ""attributes"": {
        ""class"": ""ms-bgColor-themeLighterAlt ms-bgColor-themeDarkAlt--hover ms-fontColor-themeLighterAlt--hover""
      },
      ""forEach"": ""tag in @currentField"",
      ""children"": [
        {
          ""elmType"": ""div"",
          ""style"": {
            ""vertical-align"": ""middle"",
            ""white-space"": ""nowrap"",
            ""width"": ""auto""
          },
          ""attributes"": {
            ""class"": ""ms-fontColor-themeDarker ms-fontColor-themeLighterAlt--hover ms-font-xs""
          },
		  ""children"": [
		  {
			  ""elmType"": ""a"",
			  ""attributes"": {
				""href"": ""=@currentWeb + '/_layouts/15/search.aspx/siteall?q=tags:\""' + [$tag] + '\""'"",
				""target"": ""_blank"",
				""class"": ""ms-fontColor-themeDarker ms-fontColor-themeLighterAlt--hover ms-font-xs""
              },
			  ""style"":{
				  ""text-decoration"": ""none""
			  },
			  ""children"": [
				{
				  ""elmType"": ""span"",
				  ""style"": {
					""position"": ""relative"",
					""top"": ""2px"",
					""text-decoration"": ""none""
				  },
				  ""attributes"": {
					""iconName"": ""Tag""
				  }
				},
				{
				  ""elmType"": ""span"",
				  ""style"": {
					""padding-left"": ""4px""
				  },
				  ""txtContent"": ""[$tag]""
				}
			  ]
			}
			]
		}
	  ]
    }
  ]
}"
"b7c9bb68-c369-416f-91c5-37ec2e60a11a","Notes","Notes","False","Note","Additional notes, comments, links, or important remarks.",,,"False","False",,,,
